epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0
1,15.5361,1.74603,3.76163,1.8246,0.0091,0.68343,0.10352,0.04856,1.98597,3.56026,2.10591,0.0032963
2,30.3976,1.64821,3.13085,1.73081,0.1452,0.19197,0.11261,0.04418,2.2783,3.30854,2.50681,0.006564
3,44.9513,1.71069,2.63326,1.7549,0.03754,0.05901,0.01456,0.00426,3.20455,4.49729,3.35015,0.0097657
4,59.5031,1.7652,2.45123,1.78009,0.28447,0.11984,0.07498,0.02743,3.0954,4.07421,3.10648,0.009703
5,74.2533,1.72031,2.33514,1.77879,0.10609,0.11448,0.05922,0.01474,2.9736,4.39409,3.4078,0.00968144
6,89.4401,1.68988,2.20553,1.73499,0.356,0.01649,0.01227,0.00325,3.15401,4.96592,3.7647,0.00965513
7,104.099,1.668,2.1276,1.74599,0.20493,0.27688,0.11022,0.03204,2.45484,3.44837,2.79735,0.0096241
8,119.261,1.65797,2.05857,1.73633,0.6343,0.21436,0.21767,0.0901,2.27858,2.87435,2.52809,0.00958838
9,134.972,1.63943,2.00897,1.71626,0.57179,0.16683,0.19143,0.07656,2.24703,3.27997,2.6065,0.00954801
10,149.419,1.62888,1.95671,1.69182,0.35387,0.36484,0.2253,0.09908,2.3394,3.65031,2.67936,0.00950302
11,163.721,1.63063,1.88735,1.67232,0.31618,0.40844,0.33158,0.14418,1.91682,2.3317,2.09611,0.00945345
12,178.161,1.59929,1.88435,1.68489,0.59348,0.37647,0.34572,0.1358,2.208,2.47049,2.33447,0.00939937
13,192.657,1.57904,1.80674,1.65312,0.52964,0.5258,0.52825,0.24521,1.75527,1.81229,1.95284,0.00934081
14,206.942,1.57239,1.80176,1.66402,0.7068,0.20428,0.19775,0.08056,2.3668,3.16247,2.71735,0.00927785
15,221.286,1.56535,1.76683,1.65366,0.4625,0.42871,0.37938,0.1658,1.9174,2.08455,2.13069,0.00921053
16,235.642,1.53841,1.72569,1.63276,0.57384,0.35176,0.35394,0.15717,2.18086,2.36933,2.2769,0.00913893
17,251.143,1.55861,1.71415,1.65499,0.68437,0.07761,0.09462,0.04394,2.45031,3.88539,2.8076,0.00906312
18,265.59,1.51262,1.66844,1.61773,0.49349,0.55445,0.51294,0.23115,1.81873,1.95952,1.99598,0.00898317
19,279.974,1.52957,1.67266,1.62144,0.50788,0.07675,0.10198,0.04013,2.61955,3.81362,2.86659,0.00889917
20,294.323,1.49917,1.63892,1.59876,0.6119,0.41498,0.41997,0.2048,1.86066,2.40551,2.0651,0.00881119
21,308.742,1.50804,1.62206,1.61507,0.59194,0.47928,0.53555,0.2432,1.77183,1.80228,1.99165,0.00871931
22,322.933,1.50535,1.61971,1.61782,0.63026,0.45733,0.52742,0.22982,1.79647,1.89902,2.07804,0.00862365
23,337.481,1.47283,1.58006,1.59715,0.49959,0.49123,0.50674,0.22257,1.89566,2.09008,2.14264,0.00852427
24,351.725,1.47426,1.58739,1.59021,0.57976,0.41538,0.46136,0.20804,1.91242,2.0328,2.16944,0.00842129
25,366.044,1.47445,1.58664,1.59488,0.43927,0.2953,0.24937,0.1071,2.22876,3.36303,2.52818,0.00831481
26,380.255,1.46281,1.53147,1.57946,0.57209,0.60773,0.62989,0.3015,1.72052,1.57389,1.90159,0.00820493
27,394.602,1.45864,1.52036,1.58154,0.70902,0.4941,0.60224,0.27651,1.76412,1.68654,1.96577,0.00809176
28,409.02,1.48098,1.51584,1.58292,0.46872,0.21187,0.23876,0.08835,2.40357,3.27077,2.68937,0.00797541
29,423.249,1.42609,1.50348,1.55894,0.57798,0.62241,0.65249,0.31364,1.64976,1.58979,1.83694,0.00785599
30,437.511,1.42947,1.49479,1.55997,0.63254,0.35951,0.42653,0.18956,1.9891,2.32608,2.27551,0.00773363
31,451.73,1.42215,1.46638,1.55864,0.56221,0.65456,0.66266,0.31378,1.70662,1.57224,1.89549,0.00760844
32,465.939,1.43063,1.45155,1.54884,0.66606,0.45481,0.54208,0.25392,1.84036,1.7735,2.07392,0.00748056
33,480.264,1.43759,1.46762,1.55874,0.52542,0.58817,0.60037,0.28762,1.76092,1.66922,1.9502,0.00735009
34,494.616,1.41578,1.47164,1.53522,0.51301,0.46636,0.51472,0.22953,1.76804,1.8481,1.94175,0.00721718
35,508.928,1.41125,1.44135,1.52824,0.52892,0.48451,0.52983,0.26071,1.80484,1.98251,1.97572,0.00708196
36,523.273,1.40858,1.40901,1.52413,0.57013,0.62334,0.66469,0.31972,1.64075,1.54363,1.87048,0.00694455
37,537.626,1.40596,1.4239,1.53303,0.36515,0.4346,0.37961,0.17032,2.00179,2.50612,2.29387,0.00680509
38,551.97,1.38681,1.39438,1.5241,0.50269,0.62505,0.62231,0.31068,1.61937,1.57435,1.84326,0.00666373
39,566.303,1.38996,1.39828,1.52218,0.5933,0.585,0.63983,0.31125,1.68322,1.56834,1.87844,0.0065206
40,580.429,1.39372,1.40689,1.52091,0.30328,0.38336,0.32158,0.13709,2.29121,2.93404,2.66137,0.00637583
41,594.718,1.36428,1.36818,1.50027,0.53947,0.50873,0.53023,0.24504,1.77368,1.8138,1.99066,0.00622959
42,608.999,1.37806,1.35286,1.49929,0.59655,0.66526,0.68484,0.34697,1.59969,1.46361,1.78611,0.006082
43,623.306,1.34571,1.33831,1.48708,0.62302,0.65134,0.70381,0.34206,1.62772,1.44605,1.84931,0.00593321
44,637.618,1.34976,1.33629,1.49449,0.66583,0.58093,0.67166,0.31755,1.68692,1.52358,1.92435,0.00578338
