epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0
1,24.751,3.53119,4.55722,4.17125,0.00038,0.06313,0.00027,7e-05,3.58617,4.26703,4.15033,0.0032963
2,43.0166,3.38042,4.39414,4.02057,0.83556,0.00777,0.0044,0.00121,3.46606,4.79627,4.04833,0.006564
3,61.0918,3.03932,3.93139,3.59593,0.36189,0.03109,0.01991,0.00471,3.29541,3.70725,3.69478,0.0097657
4,79.1959,2.77986,3.50498,3.24879,0.00393,0.19857,0.0055,0.00144,3.69052,7.04301,3.95852,0.009703
5,97.1617,2.49597,3.22024,2.9771,0.18878,0.1139,0.01446,0.00333,2.96972,4.691,3.28144,0.00968144
6,115.834,2.35714,2.95449,2.77895,0.71018,0.04491,0.03288,0.01026,2.96386,4.0742,3.2874,0.00965513
7,133.507,2.19769,2.73492,2.63188,0.00103,0.15277,0.00267,0.00087,3.4524,4.70269,3.97874,0.0096241
8,151.155,2.07224,2.60869,2.53722,0.21521,0.04789,0.03528,0.01026,3.03042,4.53781,3.43842,0.00958838
9,168.767,1.99922,2.48649,2.4526,0.00269,0.05037,0.00215,0.00048,3.03062,4.39223,3.43613,0.00954801
10,186.316,1.93268,2.38058,2.38935,0.40637,0.21264,0.18993,0.06738,2.45337,3.4626,2.906,0.00950302
11,203.895,1.88224,2.26418,2.32468,0.2881,0.08158,0.05238,0.0132,2.90257,4.8548,3.39878,0.00945345
12,221.396,1.83922,2.25051,2.28684,0.63517,0.11829,0.10743,0.03929,2.65071,3.91713,3.19723,0.00939937
13,239.047,1.8077,2.18073,2.2622,0.2482,0.42211,0.29779,0.11504,2.11299,2.48875,2.48421,0.00934081
14,256.512,1.78684,2.14661,2.24311,0.40894,0.40525,0.299,0.1007,2.17911,2.45514,2.55047,0.00927785
15,274.032,1.77246,2.10571,2.19504,0.31914,0.41036,0.29694,0.11066,2.10218,2.46382,2.50191,0.00921053
16,291.586,1.7361,2.05491,2.18289,0.56516,0.16507,0.08208,0.02746,2.76558,3.93944,3.25485,0.00913893
17,309.049,1.73441,2.01128,2.1775,0.39836,0.18157,0.1863,0.06945,2.48686,3.44484,2.93905,0.00906312
18,326.479,1.71358,1.9896,2.15038,0.45791,0.14703,0.12071,0.03895,2.88633,3.80781,3.37155,0.00898317
19,344.006,1.70435,1.98361,2.13715,0.39787,0.63647,0.49643,0.19899,1.89861,2.01637,2.25193,0.00889917
20,361.454,1.69625,1.95966,2.12565,0.29814,0.41592,0.26999,0.10342,2.20093,2.8481,2.64927,0.00881119
21,378.888,1.67392,1.90803,2.09741,0.43502,0.23759,0.22673,0.09339,2.42583,3.23681,2.80777,0.00871931
22,396.328,1.66259,1.876,2.07527,0.37611,0.56429,0.476,0.18383,1.99758,2.03979,2.38343,0.00862365
23,413.754,1.64277,1.85465,2.07344,0.60776,0.22896,0.24432,0.08954,2.24536,2.87065,2.71878,0.00852427
24,431.113,1.63671,1.85819,2.05483,0.76717,0.18529,0.20426,0.07894,2.45682,3.29832,2.92537,0.00842129
25,448.477,1.63251,1.85136,2.04998,0.64287,0.1734,0.21767,0.07941,2.49416,3.55449,2.95671,0.00831481
26,466.389,1.61573,1.81044,2.03316,0.46334,0.35894,0.31176,0.11448,2.11099,2.56113,2.47367,0.00820493
27,483.868,1.60217,1.78436,2.0242,0.1581,0.16459,0.10388,0.03629,2.42162,3.73011,2.88431,0.00809176
28,501.381,1.60815,1.78913,2.02043,0.41379,0.48748,0.43271,0.18317,2.01945,2.16029,2.31916,0.00797541
29,518.884,1.59038,1.76651,2.02926,0.51367,0.12459,0.15224,0.06073,2.42092,3.77984,2.83892,0.00785599
30,536.323,1.57749,1.74591,2.00405,0.49894,0.36132,0.33585,0.14161,2.16996,2.55852,2.52677,0.00773363
31,553.849,1.58142,1.75605,2.00663,0.33262,0.35784,0.23412,0.09817,2.36178,2.97734,2.75907,0.00760844
32,571.371,1.56268,1.74199,1.98944,0.6434,0.51597,0.56079,0.24619,1.85001,1.80954,2.15204,0.00748056
33,588.913,1.56802,1.73886,1.98785,0.2921,0.44644,0.32051,0.12912,2.07544,2.5509,2.42859,0.00735009
34,606.396,1.56117,1.72438,1.98758,0.5052,0.61705,0.56491,0.25065,1.86626,1.74575,2.18158,0.00721718
35,623.842,1.55229,1.69797,1.95839,0.42198,0.60164,0.51381,0.22648,1.89802,1.87524,2.21008,0.00708196
36,641.392,1.53933,1.67683,1.96354,0.67672,0.22709,0.27545,0.11944,2.33563,3.09357,2.77047,0.00694455
