epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.8487,3.26736,4.32033,4.0352,0.00069,0.18301,0.0054,0.00184,3.59705,4.10301,4.14725,0.00032963,0.00032963,0.00032963
2,41.2095,2.86493,3.81974,3.5373,0.00381,0.2973,0.01934,0.00454,3.23982,3.78949,3.76169,0.0006564,0.0006564,0.0006564
3,58.5769,2.6347,3.52801,3.19332,0.38102,0.10009,0.03829,0.01087,2.90055,3.6776,3.26519,0.00097657,0.00097657,0.00097657
4,75.7781,2.40184,3.20258,2.92248,0.22423,0.13567,0.07243,0.02118,2.68478,3.79946,3.03859,0.0009703,0.0009703,0.0009703
5,92.9768,2.25292,2.9363,2.72818,0.18448,0.19342,0.12503,0.03701,2.55,3.15912,2.90944,0.0009604,0.0009604,0.0009604
6,110.036,2.12632,2.74915,2.61393,0.41222,0.29861,0.23574,0.0784,2.36866,2.59919,2.68905,0.0009505,0.0009505,0.0009505
7,127.166,2.04197,2.61871,2.52823,0.19525,0.22127,0.14165,0.04977,2.3231,2.78879,2.63768,0.0009406,0.0009406,0.0009406
8,144.283,2.00342,2.53243,2.48741,0.38668,0.33386,0.23511,0.07558,2.32426,2.59252,2.62493,0.0009307,0.0009307,0.0009307
9,161.328,1.9547,2.49904,2.44435,0.28083,0.39444,0.29183,0.10473,2.28244,2.42147,2.58563,0.0009208,0.0009208,0.0009208
10,178.561,1.90108,2.41295,2.39079,0.17642,0.30039,0.17547,0.05938,2.43798,2.83078,2.80253,0.0009109,0.0009109,0.0009109
11,195.604,1.87502,2.34643,2.36781,0.22354,0.36232,0.25753,0.08863,2.22375,2.47293,2.55897,0.000901,0.000901,0.000901
12,212.607,1.84465,2.2738,2.34013,0.32943,0.51825,0.39588,0.14035,2.13157,2.18082,2.46205,0.0008911,0.0008911,0.0008911
13,229.736,1.83717,2.25391,2.3259,0.34015,0.51035,0.41657,0.15891,2.13396,2.2741,2.52334,0.0008812,0.0008812,0.0008812
14,246.818,1.80957,2.20021,2.29919,0.33051,0.40459,0.32123,0.10968,2.2689,2.31783,2.59572,0.0008713,0.0008713,0.0008713
15,263.824,1.79399,2.20742,2.27699,0.2443,0.34779,0.24748,0.08105,2.37649,2.63933,2.65894,0.0008614,0.0008614,0.0008614
16,280.817,1.77841,2.16274,2.26511,0.50969,0.40917,0.39853,0.14788,2.12603,2.16818,2.4453,0.0008515,0.0008515,0.0008515
17,297.822,1.76908,2.15293,2.25705,0.50231,0.46805,0.44739,0.18,2.09252,2.02834,2.42204,0.0008416,0.0008416,0.0008416
18,314.826,1.76182,2.10348,2.24326,0.34419,0.42494,0.37653,0.14829,2.10471,2.21112,2.42951,0.0008317,0.0008317,0.0008317
19,331.81,1.73445,2.08889,2.21752,0.25094,0.38618,0.28724,0.11326,2.19948,2.51623,2.58173,0.0008218,0.0008218,0.0008218
