epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0
1,53.3763,3.53737,4.52812,4.20177,0.00044,0.13094,0.00058,0.0002,3.58593,4.13572,4.15569,0.0032963
2,104.194,3.51191,4.45188,4.1732,0.33678,0.00469,0.00153,0.00037,3.60616,4.15095,4.37532,0.006564
3,155.115,3.43184,4.20347,4.0426,0.67605,0.01295,0.00771,0.00155,3.38389,4.95588,4.04123,0.0097657
4,205.742,3.0991,3.84408,3.6509,0.67515,0.02591,0.00633,0.00124,3.58888,4.47317,4.08064,0.009703
5,256.154,2.82269,3.46402,3.2978,0.00169,0.05911,0.00118,0.00023,3.69678,4.56927,4.54152,0.00968144
6,307.136,2.65824,3.2307,3.02778,0.35778,0.06341,0.00878,0.00223,3.44374,5.64426,3.7461,0.00965513
7,358.297,2.50316,3.02084,2.85086,0.21489,0.1264,0.04084,0.00958,3.09584,5.85516,3.23884,0.0096241
8,408.943,2.38387,2.88313,2.73548,0.85449,0.02332,0.01045,0.00254,3.04761,5.15928,3.17396,0.00958838
9,459.389,2.24251,2.72829,2.59883,0.08169,0.13933,0.04009,0.0126,2.82499,4.8683,3.15003,0.00954801
10,509.889,2.11846,2.54896,2.47193,0.58449,0.03678,0.02485,0.00742,2.8385,4.73809,3.15273,0.00950302
11,560.365,2.04943,2.40422,2.39617,0.58974,0.03643,0.02934,0.00864,2.99657,4.43791,3.13647,0.00945345
12,610.937,1.94023,2.31374,2.30888,0.25825,0.15243,0.06719,0.02116,2.66462,4.11488,2.93966,0.00939937
13,661.463,1.87023,2.22115,2.22172,0.4273,0.06394,0.04426,0.01395,2.95773,4.49542,3.21442,0.00934081
14,711.869,1.83882,2.15928,2.18752,0.40921,0.26397,0.25088,0.08685,2.26594,2.77732,2.52484,0.00927785
15,762.373,1.80784,2.07569,2.14705,0.38382,0.44761,0.36217,0.14311,2.09946,2.28468,2.36718,0.00921053
16,812.79,1.75827,1.984,2.09597,0.38677,0.28117,0.16635,0.06169,2.52534,3.35102,2.78793,0.00913893
17,863.165,1.74309,1.96338,2.08535,0.12124,0.13621,0.08554,0.03203,2.5233,4.19702,2.79291,0.00906312
18,913.508,1.72127,1.92678,2.05576,0.33441,0.15493,0.05824,0.02074,2.73367,3.97705,3.16182,0.00898317
19,963.816,1.72052,1.92455,2.04626,0.41108,0.48316,0.39825,0.14462,2.14787,2.25855,2.39384,0.00889917
20,1014.34,1.66821,1.88795,2.02722,0.52118,0.4082,0.37955,0.15821,2.07907,2.32402,2.29321,0.00881119
21,1064.99,1.66834,1.85111,2.00081,0.52565,0.24263,0.26215,0.10534,2.25209,2.84307,2.4986,0.00871931
22,1115.48,1.64536,1.79721,1.98014,0.48655,0.413,0.33104,0.12494,2.23915,2.42306,2.50506,0.00862365
23,1165.97,1.63077,1.78974,1.96605,0.50721,0.17268,0.14795,0.05823,2.53797,3.71511,2.98529,0.00852427
24,1216.5,1.63337,1.78295,1.95991,0.53573,0.41314,0.40057,0.15532,2.0984,2.31421,2.34689,0.00842129
25,1266.98,1.61387,1.79436,1.94606,0.39766,0.2684,0.17967,0.05711,2.43907,3.41074,2.73173,0.00831481
26,1317.4,1.5786,1.72026,1.90734,0.49195,0.60296,0.57955,0.24716,1.88187,1.70415,2.16215,0.00820493
27,1368.01,1.5736,1.70705,1.91953,0.34376,0.43537,0.35504,0.1407,2.11447,2.34076,2.38442,0.00809176
28,1418.5,1.57107,1.69247,1.91255,0.30864,0.39801,0.32639,0.12731,2.19006,2.70423,2.49618,0.00797541
29,1469.05,1.54139,1.67389,1.89846,0.35088,0.36712,0.3387,0.12999,2.16918,2.53429,2.42513,0.00785599
30,1519.53,1.55034,1.64213,1.88236,0.66284,0.45836,0.54295,0.25196,1.83877,1.827,2.14094,0.00773363
31,1570.07,1.51984,1.64941,1.86854,0.5781,0.5597,0.5796,0.25673,1.8497,1.72534,2.14045,0.00760844
32,1620.63,1.51948,1.62102,1.86384,0.38222,0.35856,0.29028,0.11001,2.30765,2.90868,2.59595,0.00748056
33,1671.08,1.52353,1.64214,1.87624,0.36759,0.43344,0.35701,0.15345,2.11052,2.56244,2.4372,0.00735009
34,1721.5,1.51319,1.63861,1.86149,0.52622,0.49224,0.54986,0.25338,1.83611,1.79115,2.11609,0.00721718
35,1771.89,1.49592,1.59335,1.84145,0.5047,0.6407,0.61543,0.27743,1.80095,1.63142,2.10165,0.00708196
36,1822.35,1.49533,1.54371,1.83562,0.69479,0.51018,0.60924,0.26887,1.83704,1.7272,2.11088,0.00694455
37,1871.72,1.49077,1.56845,1.83296,0.75986,0.48104,0.61834,0.28149,1.80118,1.64639,2.1205,0.00680509
38,1920.21,1.47886,1.56911,1.82356,0.51014,0.5247,0.51405,0.23392,1.93871,1.83039,2.25186,0.00666373
39,1968.65,1.47362,1.54191,1.81281,0.53281,0.60017,0.62172,0.29293,1.7677,1.61761,2.05917,0.0065206
40,2017.17,1.47616,1.57014,1.8131,0.52783,0.62163,0.60022,0.26723,1.78961,1.69104,2.08276,0.00637583
41,2065.64,1.45036,1.51765,1.7984,0.46333,0.57199,0.53588,0.23321,1.94782,1.88677,2.24363,0.00622959
42,2114.15,1.44654,1.47668,1.78904,0.50436,0.68044,0.64936,0.30321,1.76569,1.56918,2.05505,0.006082
43,2162.77,1.42297,1.47753,1.77189,0.52778,0.58248,0.55793,0.25392,1.87166,1.72521,2.17329,0.00593321
44,2211.46,1.42072,1.48892,1.7815,0.73917,0.5174,0.62148,0.29376,1.77445,1.58394,2.08869,0.00578338
45,2260.03,1.41407,1.48093,1.77185,0.53352,0.58359,0.56903,0.25015,1.88323,1.77507,2.1406,0.00563265
46,2308.53,1.39585,1.43515,1.75312,0.69128,0.44919,0.53214,0.22906,1.99956,2.05032,2.35151,0.00548116
47,2357.17,1.40541,1.42673,1.75383,0.65904,0.631,0.66346,0.3166,1.71681,1.54556,2.03816,0.00532908
48,2406.1,1.39843,1.4138,1.74798,0.47729,0.57828,0.54774,0.26153,1.77118,1.74587,2.08724,0.00517654
49,2455.26,1.38353,1.39875,1.73828,0.63009,0.60296,0.65194,0.30829,1.78154,1.56979,2.10232,0.0050237
50,2504.09,1.39508,1.39612,1.74557,0.62535,0.52918,0.6007,0.28772,1.73969,1.64838,2.03664,0.0048707
51,2552.88,1.40366,1.40501,1.74524,0.6805,0.55381,0.62033,0.28296,1.79647,1.63507,2.08114,0.00471771
52,2601.55,1.36606,1.38645,1.72692,0.60039,0.62974,0.64918,0.31237,1.76845,1.51386,2.06106,0.00456487
53,2650.14,1.37656,1.40008,1.73513,0.54136,0.55749,0.58757,0.26626,1.88068,1.7693,2.16419,0.00441233
54,2698.68,1.37275,1.38921,1.7323,0.6343,0.62448,0.67582,0.33889,1.67423,1.4898,1.98936,0.00426024
55,2747.37,1.34368,1.33813,1.69037,0.65064,0.60653,0.65924,0.32496,1.71212,1.49915,2.01292,0.00410876
56,2795.95,1.34154,1.33334,1.69666,0.55309,0.67092,0.62938,0.30859,1.72439,1.53065,2.02712,0.00395802
57,2844.54,1.34612,1.36229,1.71565,0.57973,0.49918,0.50969,0.22602,1.93278,2.06404,2.26725,0.00380819
58,2893.17,1.33236,1.339,1.68535,0.63557,0.63379,0.67174,0.33293,1.69524,1.45085,2.00345,0.00365941
59,2941.77,1.33917,1.32189,1.69054,0.58992,0.60104,0.62062,0.29112,1.77535,1.6014,2.07261,0.00351182
60,2990.38,1.33861,1.32265,1.69415,0.61311,0.64011,0.66162,0.31953,1.73011,1.50457,2.03035,0.00336557
61,3039.01,1.32498,1.30978,1.68383,0.59928,0.62967,0.63779,0.30904,1.72641,1.57576,2.05552,0.00322081
62,3087.58,1.30079,1.29793,1.67916,0.60243,0.67586,0.67871,0.33548,1.67213,1.42198,2.00355,0.00307768
63,3136.11,1.30595,1.29843,1.66475,0.65956,0.63518,0.68595,0.33921,1.68503,1.41605,1.99954,0.00293631
64,3184.62,1.31867,1.30143,1.68024,0.60497,0.6619,0.67363,0.33685,1.68674,1.45256,2.00522,0.00279686
65,3233.07,1.30312,1.28997,1.6669,0.54768,0.63653,0.61113,0.29665,1.75233,1.58491,2.03851,0.00265945
66,3281.51,1.30473,1.28183,1.65942,0.60842,0.6135,0.62071,0.28873,1.81165,1.62412,2.11263,0.00252422
67,3330.1,1.28021,1.25445,1.64838,0.58408,0.61623,0.62394,0.30078,1.7587,1.59679,2.07722,0.00239131
68,3378.66,1.27668,1.24422,1.6517,0.63192,0.68012,0.70176,0.34746,1.66833,1.38366,1.98252,0.00226085
69,3427.32,1.2838,1.24574,1.66429,0.66623,0.6459,0.69329,0.34936,1.61298,1.41771,1.95028,0.00213296
70,3476,1.28719,1.24712,1.65972,0.65692,0.67856,0.7081,0.35218,1.64787,1.38606,1.97153,0.00200778
71,3528.6,1.2743,1.2225,1.64122,0.62155,0.66774,0.69126,0.34654,1.66019,1.41469,1.98973,0.00188541
72,3579.16,1.26783,1.21294,1.64055,0.68983,0.64952,0.70475,0.35882,1.66398,1.39998,1.98059,0.001766
73,3629.69,1.23191,1.19619,1.61638,0.63749,0.66101,0.69413,0.35552,1.66076,1.39378,2.00086,0.00164965
74,3680.06,1.25248,1.20723,1.63412,0.61345,0.66747,0.69844,0.35561,1.65267,1.39967,1.98559,0.00153648
75,3730.54,1.24335,1.20435,1.62883,0.61711,0.66661,0.68542,0.34527,1.66653,1.40183,2.01371,0.0014266
76,3780.94,1.24842,1.20835,1.63515,0.68592,0.63594,0.69704,0.35273,1.66661,1.37605,1.98768,0.00132011
77,3831.31,1.22065,1.18201,1.61613,0.67225,0.63233,0.70462,0.35784,1.64516,1.37673,1.97764,0.00121713
78,3881.88,1.22484,1.17522,1.61068,0.66507,0.65732,0.70963,0.36109,1.64662,1.34558,1.98513,0.00111776
79,3932.42,1.24046,1.17772,1.62368,0.70194,0.60689,0.68903,0.35774,1.64795,1.36538,1.98264,0.00102209
80,3982.79,1.24274,1.19476,1.61561,0.66104,0.66316,0.71174,0.36301,1.63056,1.34665,1.97002,0.000930222
81,4033.29,1.20288,1.14139,1.58726,0.71776,0.61984,0.70296,0.36262,1.64886,1.36215,1.98612,0.000842239
82,4083.73,1.20264,1.14456,1.59932,0.69636,0.63815,0.71101,0.36138,1.64912,1.34833,1.9766,0.000758233
83,4134.14,1.19458,1.14316,1.58906,0.67123,0.64124,0.70308,0.36513,1.62388,1.35337,1.97655,0.000678284
84,4186.74,1.2056,1.14862,1.5997,0.73184,0.6358,0.71396,0.36606,1.63159,1.3465,1.96304,0.000602473
85,4237.31,1.19729,1.1361,1.58313,0.69926,0.63044,0.71033,0.36843,1.63213,1.34319,1.95522,0.000530875
86,4287.81,1.21075,1.1422,1.59664,0.68278,0.66589,0.72015,0.36806,1.64034,1.33601,1.96251,0.000463559
87,4338.22,1.19354,1.13599,1.58046,0.70538,0.63441,0.71115,0.36277,1.64823,1.34494,1.97498,0.000400593
88,4388.65,1.18089,1.13285,1.57547,0.72018,0.63904,0.71647,0.36668,1.63567,1.32762,1.96811,0.000342038
89,4438.73,1.18976,1.11684,1.58759,0.7289,0.61895,0.70564,0.36181,1.64381,1.35187,1.96849,0.000287952
90,4487.33,1.19607,1.13103,1.56935,0.72829,0.64567,0.71335,0.36329,1.64223,1.33194,1.97801,0.000238389
91,4550.02,1.21526,1.13824,1.60071,0.68045,0.63586,0.70185,0.36065,1.64265,1.35693,1.97124,0.000193398
92,4600.84,1.17932,1.08408,1.56793,0.69653,0.64793,0.70792,0.36103,1.65749,1.34462,1.98791,0.000153022
93,4651.14,1.17522,1.04477,1.56584,0.68596,0.66198,0.71159,0.35982,1.64498,1.33761,1.98185,0.000117302
94,4701.35,1.16834,1.03767,1.56332,0.68176,0.65748,0.70776,0.35843,1.63947,1.34715,1.97242,8.62735e-05
95,4751.7,1.17422,1.04952,1.56441,0.68069,0.66258,0.70427,0.36009,1.63948,1.34071,1.97574,5.99664e-05
96,4802.06,1.16336,1.04839,1.56289,0.69605,0.65569,0.70915,0.36068,1.6424,1.34398,1.97939,3.8407e-05
97,4852.42,1.16845,1.03596,1.56517,0.69033,0.65094,0.70644,0.36025,1.63872,1.34197,1.97883,2.16164e-05
98,4902.8,1.17116,1.03603,1.56999,0.69161,0.65919,0.70563,0.36126,1.63745,1.33946,1.97578,9.61122e-06
99,4953.2,1.169,1.04641,1.56667,0.69393,0.65029,0.70842,0.36071,1.64049,1.34445,1.97946,2.4034e-06
100,5004.37,1.1633,1.03465,1.56132,0.69504,0.65653,0.70849,0.35994,1.63738,1.34161,1.97629,0
