epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.7471,3.28867,4.14718,4.03026,0.00096,0.20274,0.00171,0.0005,3.65837,4.00308,4.06947,0.00032963,0.00032963,0.00032963
2,103.55,2.8857,3.48633,3.47823,0.39886,0.13182,0.0591,0.01352,3.00562,3.70665,3.31375,0.0006564,0.0006564,0.0006564
3,154.247,2.57616,3.19815,3.0889,0.24167,0.06431,0.03891,0.01077,2.8607,4.42943,3.29881,0.00097657,0.00097657,0.00097657
4,204.811,2.35287,2.98724,2.86135,0.26218,0.24634,0.11208,0.03486,2.77781,4.74925,3.12147,0.0009703,0.0009703,0.0009703
5,255.556,2.22843,2.79542,2.68606,0.41227,0.18226,0.157,0.04638,2.53236,2.95191,2.89918,0.0009604,0.0009604,0.0009604
6,306.186,2.14124,2.65944,2.60697,0.37539,0.28148,0.2498,0.0711,2.455,2.66476,2.69042,0.0009505,0.0009505,0.0009505
7,356.572,2.06415,2.55989,2.53382,0.4078,0.24461,0.22213,0.06792,2.40677,2.74392,2.67813,0.0009406,0.0009406,0.0009406
8,406.729,2.00506,2.47448,2.47072,0.30558,0.36168,0.27603,0.09995,2.24453,2.62866,2.55057,0.0009307,0.0009307,0.0009307
9,457.529,1.99254,2.44527,2.46259,0.50709,0.18085,0.18655,0.05855,2.56433,3.34461,2.77456,0.0009208,0.0009208,0.0009208
10,508.402,1.91518,2.3642,2.38788,0.11756,0.27355,0.14551,0.05331,2.37079,3.13549,2.61812,0.0009109,0.0009109,0.0009109
11,558.612,1.89701,2.28236,2.37364,0.40554,0.27838,0.207,0.07849,2.44473,2.99457,2.69209,0.000901,0.000901,0.000901
12,609.062,1.87112,2.22405,2.35173,0.51983,0.44278,0.39445,0.1518,2.17644,2.18368,2.48752,0.0008911,0.0008911,0.0008911
13,659.649,1.85745,2.20111,2.32908,0.3844,0.49027,0.42794,0.16454,2.19173,2.09426,2.47259,0.0008812,0.0008812,0.0008812
14,710.075,1.84328,2.17218,2.31449,0.3342,0.41245,0.38005,0.14111,2.14977,2.38829,2.41034,0.0008713,0.0008713,0.0008713
15,760.642,1.81794,2.18442,2.29303,0.59018,0.40398,0.44149,0.17214,2.12968,2.02916,2.42591,0.0008614,0.0008614,0.0008614
16,811.03,1.77592,2.11308,2.2539,0.36052,0.44545,0.35358,0.11333,2.20852,2.26846,2.49907,0.0008515,0.0008515,0.0008515
17,861.134,1.78435,2.09652,2.253,0.39516,0.28673,0.19685,0.06534,2.36709,3.37899,2.66967,0.0008416,0.0008416,0.0008416
18,911.448,1.7799,2.10101,2.235,0.36229,0.49854,0.44827,0.16608,2.18972,2.06823,2.45417,0.0008317,0.0008317,0.0008317
19,961.383,1.76356,2.07359,2.22987,0.27903,0.28625,0.25493,0.08726,2.26833,2.77979,2.60184,0.0008218,0.0008218,0.0008218
20,1011.2,1.73987,2.03352,2.20286,0.39811,0.44725,0.40036,0.14789,2.24256,2.18729,2.495,0.0008119,0.0008119,0.0008119
21,1061.08,1.74133,2.03982,2.19888,0.49805,0.27853,0.28397,0.08893,2.35601,2.55928,2.60364,0.000802,0.000802,0.000802
22,1112.11,1.72651,2.01475,2.19309,0.58222,0.33468,0.33447,0.13024,2.29679,2.37156,2.5135,0.0007921,0.0007921,0.0007921
23,1161.2,1.75488,2.08926,2.21464,0.53891,0.46759,0.43533,0.15634,2.13744,2.13554,2.38907,0.0007822,0.0007822,0.0007822
24,1210.14,1.72389,2.00185,2.18721,0.40955,0.59108,0.50775,0.1964,2.07112,2.01266,2.37163,0.0007723,0.0007723,0.0007723
25,1259.19,1.70884,1.9783,2.17881,0.55326,0.3542,0.39973,0.13889,2.21577,2.22102,2.47366,0.0007624,0.0007624,0.0007624
26,1308.21,1.69339,1.97641,2.16079,0.42874,0.52632,0.44334,0.17295,2.09692,1.99683,2.33054,0.0007525,0.0007525,0.0007525
27,1358.3,1.71295,1.96324,2.17954,0.58829,0.4353,0.49248,0.18899,2.16939,1.89088,2.41099,0.0007426,0.0007426,0.0007426
28,1407.24,1.6672,1.93743,2.13992,0.46114,0.54768,0.53155,0.20472,1.99411,1.86586,2.27433,0.0007327,0.0007327,0.0007327
29,1456.63,1.682,1.93788,2.14357,0.42454,0.45592,0.42853,0.16289,2.13512,2.11424,2.36874,0.0007228,0.0007228,0.0007228
30,1506.8,1.65932,1.90012,2.11607,0.64675,0.4661,0.55599,0.21888,1.99417,1.83894,2.27707,0.0007129,0.0007129,0.0007129
31,1558.36,1.66628,1.87517,2.11714,0.47612,0.61084,0.54991,0.21898,2.01392,1.87385,2.26953,0.000703,0.000703,0.000703
32,1608.46,1.66551,1.92587,2.12806,0.64764,0.51577,0.5646,0.23262,1.90928,1.83078,2.19019,0.0006931,0.0006931,0.0006931
33,1658.52,1.63675,1.87235,2.10382,0.4693,0.5937,0.54206,0.22477,1.97816,1.85408,2.23483,0.0006832,0.0006832,0.0006832
34,1708.42,1.62442,1.85146,2.08041,0.66218,0.42522,0.48868,0.17923,2.18204,1.98395,2.42482,0.0006733,0.0006733,0.0006733
35,1758.31,1.61758,1.85647,2.08825,0.51599,0.55317,0.55638,0.23853,1.9831,1.77528,2.27133,0.0006634,0.0006634,0.0006634
36,1808.57,1.6293,1.85192,2.09346,0.54104,0.58481,0.57876,0.23229,1.96746,1.7509,2.28438,0.0006535,0.0006535,0.0006535
37,1858.46,1.62945,1.82642,2.08447,0.66392,0.50386,0.5538,0.22689,1.94727,1.80385,2.24669,0.0006436,0.0006436,0.0006436
38,1908.37,1.59151,1.83065,2.06464,0.49143,0.57151,0.53031,0.21547,2.01792,1.78622,2.31162,0.0006337,0.0006337,0.0006337
39,1959.35,1.60033,1.79761,2.06671,0.54014,0.62715,0.60468,0.24624,1.93442,1.72162,2.2286,0.0006238,0.0006238,0.0006238
40,2009.55,1.59034,1.80624,2.06309,0.44007,0.57801,0.53915,0.23233,1.96997,1.86721,2.28815,0.0006139,0.0006139,0.0006139
41,2059.62,1.57723,1.81315,2.04918,0.46547,0.64726,0.57271,0.254,1.88414,1.73707,2.22532,0.000604,0.000604,0.000604
42,2109.86,1.60067,1.80842,2.05446,0.59652,0.45649,0.48474,0.20655,1.92435,1.99084,2.21063,0.0005941,0.0005941,0.0005941
43,2159.94,1.5857,1.82115,2.05804,0.51974,0.57465,0.57417,0.26078,1.87707,1.77534,2.18539,0.0005842,0.0005842,0.0005842
44,2210.11,1.58391,1.76853,2.04561,0.47571,0.51472,0.51459,0.22553,1.92063,1.80678,2.18963,0.0005743,0.0005743,0.0005743
45,2260.14,1.55741,1.73996,2.02691,0.51647,0.57681,0.57037,0.24034,1.95162,1.7207,2.29092,0.0005644,0.0005644,0.0005644
46,2310.2,1.54728,1.76252,2.01769,0.51694,0.62365,0.59488,0.25426,1.87692,1.70071,2.18498,0.0005545,0.0005545,0.0005545
47,2360.38,1.58816,1.773,2.0559,0.46776,0.67163,0.58972,0.27056,1.81987,1.68039,2.16872,0.0005446,0.0005446,0.0005446
48,2410.59,1.56437,1.7416,2.02978,0.47961,0.64664,0.5918,0.26129,1.86747,1.65317,2.18971,0.0005347,0.0005347,0.0005347
49,2460.01,1.5606,1.7341,2.0366,0.44173,0.54334,0.49665,0.22095,1.92837,1.84243,2.25299,0.0005248,0.0005248,0.0005248
50,2509.22,1.53939,1.70323,2.01491,0.52828,0.61493,0.58511,0.27242,1.86634,1.61821,2.1472,0.0005149,0.0005149,0.0005149
51,2558.52,1.54351,1.73392,2.01558,0.57513,0.53924,0.57776,0.25264,1.85829,1.68116,2.17129,0.000505,0.000505,0.000505
52,2607.5,1.54358,1.70854,2.01794,0.49075,0.58017,0.5836,0.25693,1.92734,1.72516,2.28286,0.0004951,0.0004951,0.0004951
53,2656.62,1.55927,1.74111,2.0186,0.66959,0.56958,0.63314,0.28122,1.86482,1.56991,2.15896,0.0004852,0.0004852,0.0004852
54,2707.5,1.52685,1.70679,2.00331,0.56289,0.65621,0.63567,0.27768,1.87406,1.58845,2.2023,0.0004753,0.0004753,0.0004753
55,2756.67,1.55746,1.73009,2.02844,0.49938,0.52101,0.54209,0.21856,2.032,1.76918,2.3418,0.0004654,0.0004654,0.0004654
56,2805.83,1.5299,1.69016,1.99869,0.49166,0.63362,0.61067,0.26744,1.85552,1.6769,2.17525,0.0004555,0.0004555,0.0004555
57,2855.04,1.52042,1.67956,1.98755,0.54544,0.6428,0.63625,0.28946,1.81548,1.55542,2.13087,0.0004456,0.0004456,0.0004456
58,2904.28,1.51717,1.64268,1.98956,0.53968,0.65464,0.63714,0.29136,1.82604,1.55355,2.15479,0.0004357,0.0004357,0.0004357
59,2953.58,1.50571,1.64805,1.97685,0.45655,0.60559,0.55894,0.25428,1.83925,1.76367,2.2038,0.0004258,0.0004258,0.0004258
60,3002.63,1.51598,1.6628,1.98249,0.56998,0.6655,0.65357,0.29317,1.82879,1.51633,2.15404,0.0004159,0.0004159,0.0004159
61,3052.97,1.49617,1.62745,1.97328,0.63866,0.5685,0.61694,0.28357,1.80019,1.60439,2.12194,0.000406,0.000406,0.000406
62,3102.94,1.52542,1.67006,1.99386,0.49388,0.5012,0.44527,0.16179,2.20233,2.1872,2.48319,0.0003961,0.0003961,0.0003961
63,3152.11,1.50325,1.6456,1.98006,0.55634,0.62358,0.63495,0.28509,1.81183,1.59518,2.16304,0.0003862,0.0003862,0.0003862
64,3201.32,1.51556,1.67401,1.99087,0.56786,0.66102,0.64841,0.29383,1.76064,1.55954,2.0895,0.0003763,0.0003763,0.0003763
65,3250.74,1.50698,1.65163,1.98339,0.56557,0.61754,0.61345,0.2626,1.8888,1.62069,2.1839,0.0003664,0.0003664,0.0003664
66,3299.86,1.49234,1.63093,1.97474,0.53461,0.61552,0.61153,0.25517,1.91461,1.61006,2.21504,0.0003565,0.0003565,0.0003565
67,3348.91,1.49,1.62188,1.96022,0.52045,0.67718,0.64472,0.2844,1.83364,1.53983,2.17401,0.0003466,0.0003466,0.0003466
68,3397.87,1.4686,1.60058,1.94162,0.58813,0.66999,0.6567,0.29578,1.80107,1.51478,2.11293,0.0003367,0.0003367,0.0003367
69,3447.03,1.47051,1.61646,1.9509,0.58524,0.63033,0.65198,0.30236,1.77412,1.55989,2.11425,0.0003268,0.0003268,0.0003268
70,3496.2,1.48475,1.60909,1.95656,0.59049,0.6677,0.66233,0.30679,1.73748,1.49777,2.13175,0.0003169,0.0003169,0.0003169
71,3545.36,1.46038,1.56263,1.93759,0.60062,0.61448,0.63785,0.27551,1.87248,1.52839,2.20648,0.000307,0.000307,0.000307
72,3594.33,1.46334,1.5763,1.94169,0.55468,0.65989,0.6536,0.30746,1.73712,1.51422,2.08987,0.0002971,0.0002971,0.0002971
73,3643.55,1.47386,1.59879,1.95241,0.54744,0.65549,0.62938,0.28699,1.76913,1.59122,2.1206,0.0002872,0.0002872,0.0002872
74,3692.49,1.45376,1.5846,1.93331,0.55716,0.6757,0.68379,0.31848,1.75089,1.48896,2.13152,0.0002773,0.0002773,0.0002773
75,3741.75,1.44849,1.55796,1.92733,0.58623,0.64734,0.65253,0.29395,1.83035,1.49189,2.15848,0.0002674,0.0002674,0.0002674
76,3790.71,1.47041,1.57405,1.94274,0.57385,0.68695,0.65663,0.29937,1.75127,1.53941,2.0969,0.0002575,0.0002575,0.0002575
77,3839.65,1.44822,1.57798,1.92053,0.56126,0.67783,0.68269,0.3305,1.72109,1.43797,2.11147,0.0002476,0.0002476,0.0002476
78,3888.85,1.43102,1.54141,1.91341,0.57982,0.65222,0.65764,0.29907,1.79212,1.50112,2.15059,0.0002377,0.0002377,0.0002377
79,3937.98,1.46238,1.56762,1.94024,0.59371,0.66337,0.67285,0.30436,1.75652,1.48472,2.11373,0.0002278,0.0002278,0.0002278
80,3987.05,1.42645,1.5372,1.90241,0.60685,0.63095,0.66595,0.31295,1.77013,1.49113,2.11701,0.0002179,0.0002179,0.0002179
81,4036.26,1.43223,1.53491,1.91167,0.60799,0.69021,0.70499,0.33279,1.7572,1.41411,2.10699,0.000208,0.000208,0.000208
82,4085.64,1.43562,1.55863,1.92706,0.64327,0.66085,0.67952,0.3042,1.82016,1.47232,2.18704,0.0001981,0.0001981,0.0001981
83,4134.7,1.41193,1.5069,1.90591,0.63043,0.64338,0.69258,0.32821,1.73276,1.42596,2.1192,0.0001882,0.0001882,0.0001882
84,4183.84,1.43193,1.54531,1.91266,0.63175,0.66093,0.69529,0.32762,1.76089,1.44043,2.13086,0.0001783,0.0001783,0.0001783
85,4232.96,1.41491,1.51318,1.90001,0.63174,0.65009,0.68935,0.32449,1.76011,1.45118,2.12655,0.0001684,0.0001684,0.0001684
86,4282.03,1.42956,1.52258,1.91073,0.61456,0.66093,0.6864,0.3249,1.75838,1.44415,2.13514,0.0001585,0.0001585,0.0001585
