epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.53549,1.28051,3.45741,1.16286,0.00187,0.33333,0.00402,0.00212,0.84235,3.49711,1.13404,5.716e-05,5.716e-05,5.716e-05
2,2.38228,0.95753,3.24839,1.08579,0.00679,0.7037,0.04659,0.03192,0.56316,3.36053,0.95842,0.000127337,0.000127337,0.000127337
3,3.25158,0.7566,2.96624,0.93362,0.01016,0.96296,0.58502,0.49186,0.62159,2.99767,0.84248,0.000196099,0.000196099,0.000196099
4,4.08806,0.67756,2.46443,0.9044,0.01068,1,0.83165,0.75093,0.45044,2.80386,0.79198,0.000263446,0.000263446,0.000263446
5,4.93347,0.75044,2.21093,0.92871,0.01078,1,0.93073,0.82141,0.44885,2.7083,0.79165,0.000329379,0.000329379,0.000329379
6,5.73817,0.67529,1.84537,0.91779,0.01081,1,0.94596,0.80931,0.57476,2.66388,0.80562,0.000393897,0.000393897,0.000393897
7,6.56301,0.65058,1.4649,0.91249,0.01078,1,0.95263,0.7944,0.62507,2.66316,0.82314,0.000457,0.000457,0.000457
8,7.36394,0.65511,1.19281,0.91628,0.01076,1,0.90559,0.80669,0.52551,2.71179,0.82794,0.000518688,0.000518688,0.000518688
9,8.19316,0.6385,1.03986,0.9363,0.01087,1,0.6551,0.54833,0.52378,3.06068,0.92076,0.000578962,0.000578962,0.000578962
10,9.04751,0.61054,0.95126,0.92014,0.01114,1,0.38595,0.31788,0.71223,3.18247,0.98998,0.000637821,0.000637821,0.000637821
11,9.85685,0.61653,0.91091,0.89482,0.99774,0.29226,0.82887,0.69127,0.5857,2.65599,0.87605,0.000695266,0.000695266,0.000695266
12,10.6997,0.62568,0.8282,0.88928,0.93057,0.51852,0.93345,0.78628,0.59908,2.14094,0.81664,0.000751295,0.000751295,0.000751295
13,11.4997,0.60063,0.78114,0.89408,0.93968,0.57476,0.96355,0.8347,0.55415,1.9521,0.80076,0.00080591,0.00080591,0.00080591
14,12.3316,0.63212,0.79834,0.91189,0.93686,0.61773,0.92549,0.84343,0.4808,1.72271,0.79405,0.000859111,0.000859111,0.000859111
15,13.1489,0.60251,0.78616,0.88393,0.97549,0.66667,0.95187,0.86071,0.46252,1.7733,0.7915,0.000910896,0.000910896,0.000910896
16,13.96,0.61604,0.79543,0.88922,0.9718,0.66667,0.96811,0.85218,0.48221,1.73363,0.79784,0.000961267,0.000961267,0.000961267
17,14.7831,0.58709,0.74576,0.87749,0.95448,0.81527,0.995,0.88853,0.51683,1.53583,0.8052,0.00101022,0.00101022,0.00101022
18,15.6311,0.60111,0.78316,0.90206,0.94799,0.83091,0.96976,0.85985,0.51105,1.50323,0.80959,0.00105776,0.00105776,0.00105776
19,16.4251,0.56739,0.72095,0.89014,0.92449,0.75846,0.94927,0.85853,0.45391,1.46295,0.7992,0.00110389,0.00110389,0.00110389
20,17.2284,0.56451,0.74585,0.86492,0.93321,0.92215,0.995,0.87089,0.52385,1.06956,0.81918,0.0011486,0.0011486,0.0011486
21,18.0391,0.58892,0.70154,0.89323,0.95317,0.99328,0.995,0.8898,0.46607,0.84743,0.81245,0.00114606,0.00114606,0.00114606
22,18.8471,0.5721,0.71507,0.88216,0.97762,1,0.995,0.87646,0.48943,0.76236,0.8149,0.00113191,0.00113191,0.00113191
23,19.6641,0.58919,0.70148,0.87212,0.97413,1,0.995,0.86563,0.52839,0.7943,0.82356,0.00111776,0.00111776,0.00111776
24,20.4785,0.57214,0.69919,0.8673,0.95703,0.98782,0.995,0.89869,0.42696,0.86433,0.81619,0.00110362,0.00110362,0.00110362
25,21.2724,0.55262,0.68224,0.87475,0.94729,0.98877,0.995,0.90844,0.47132,0.8186,0.81895,0.00108947,0.00108947,0.00108947
26,22.0736,0.54208,0.66957,0.86229,0.97466,1,0.995,0.91357,0.44772,0.69252,0.8156,0.00107532,0.00107532,0.00107532
27,22.952,0.51579,0.64791,0.85498,0.98405,1,0.995,0.90603,0.41826,0.57424,0.81673,0.00106118,0.00106118,0.00106118
28,23.7695,0.55777,0.6662,0.86884,0.98609,1,0.995,0.90512,0.45727,0.59324,0.81629,0.00104703,0.00104703,0.00104703
29,24.5824,0.53356,0.62462,0.85309,0.97384,1,0.995,0.92115,0.42368,0.61262,0.80752,0.00103288,0.00103288,0.00103288
30,25.3969,0.53791,0.63684,0.86485,0.97511,1,0.995,0.93891,0.39464,0.57812,0.8028,0.00101873,0.00101873,0.00101873
31,26.2014,0.51916,0.60432,0.84821,0.9783,1,0.995,0.91825,0.40723,0.51943,0.80687,0.00100459,0.00100459,0.00100459
32,27.0281,0.49195,0.5983,0.8628,0.98895,1,0.995,0.92099,0.37883,0.45905,0.8003,0.00099044,0.00099044,0.00099044
33,27.8308,0.48973,0.59318,0.86344,0.98794,1,0.995,0.93228,0.37836,0.45142,0.79707,0.000976293,0.000976293,0.000976293
34,28.6459,0.49431,0.5775,0.85932,0.98533,1,0.995,0.92024,0.41002,0.4635,0.80072,0.000962146,0.000962146,0.000962146
35,29.4472,0.49109,0.59996,0.86172,0.98268,1,0.995,0.94037,0.38191,0.46737,0.79649,0.000947999,0.000947999,0.000947999
36,30.3491,0.48005,0.58051,0.84861,0.98811,1,0.995,0.93376,0.36856,0.48336,0.80101,0.000933851,0.000933851,0.000933851
37,31.1414,0.49199,0.60827,0.85967,0.99298,1,0.995,0.91028,0.42003,0.46056,0.81128,0.000919704,0.000919704,0.000919704
38,31.9413,0.51486,0.5913,0.83793,0.99367,1,0.995,0.89824,0.42029,0.46097,0.81465,0.000905557,0.000905557,0.000905557
39,32.7524,0.50209,0.59022,0.86047,0.99078,1,0.995,0.92047,0.39648,0.43414,0.81552,0.00089141,0.00089141,0.00089141
