epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.32592,0.96768,2.45424,1.15884,0.60195,0.99201,0.72097,0.56996,0.68709,3.75861,1.029,0.00012861,0.00012861,0.00012861
2,8.7897,0.72104,0.85655,1.01932,0.92658,0.96801,0.995,0.83942,0.69534,1.20623,1.04732,0.000268822,0.000268822,0.000268822
3,14.332,0.72712,0.66749,0.96463,0.97091,0.98868,0.995,0.8088,0.64715,0.84682,0.98823,0.000406205,0.000406205,0.000406205
4,18.7875,0.71475,0.67259,0.98661,0.99137,0.59259,0.70717,0.53249,0.99326,1.3868,1.24707,0.000540758,0.000540758,0.000540758
5,23.1886,0.75691,0.66849,1.0371,0.75025,0.88889,0.984,0.81457,0.66648,1.57215,0.99958,0.000672482,0.000672482,0.000672482
6,27.5863,0.68236,0.78739,0.95835,0.48755,0.56689,0.48412,0.35083,1.40084,2.36321,1.61053,0.000801376,0.000801376,0.000801376
7,32.0071,0.82038,0.61682,1.01613,0.36702,0.07407,0.0231,0.00299,4.01942,14.3533,6.75292,0.000927441,0.000927441,0.000927441
8,36.3434,0.90677,0.67111,1.04809,0,0,0,0,4.78697,inf,181.829,0.00105068,0.00105068,0.00105068
9,40.6672,0.81696,0.72722,0.99023,0,0,0,0,4.07906,inf,294.702,0.00117108,0.00117108,0.00117108
10,45.1632,0.81202,0.67702,1.00108,0.12674,0.2963,0.04299,0.03714,2.27504,338.565,7.73978,0.00128866,0.00128866,0.00128866
11,49.4846,0.81532,0.67806,1.01071,0.67457,0.64375,0.74749,0.59572,0.95931,4.22353,1.2916,0.00128753,0.00128753,0.00128753
12,53.8014,0.74866,0.58555,1.00949,0.64985,0.38473,0.57837,0.37463,1.18343,3.611,1.37234,0.00127338,0.00127338,0.00127338
13,58.1229,0.80606,0.55346,1.0127,0.88619,0.58242,0.78481,0.59383,0.80272,2.44058,1.16745,0.00125923,0.00125923,0.00125923
14,62.4836,0.75607,0.54166,0.97641,0.96803,0.66667,0.995,0.80862,0.81071,1.96763,1.16275,0.00124509,0.00124509,0.00124509
15,66.8437,0.77845,0.51999,0.9914,0.96018,0.66667,0.995,0.8215,0.67461,1.82591,1.04354,0.00123094,0.00123094,0.00123094
16,71.3365,0.71256,0.54327,0.99437,0.66412,0.91331,0.995,0.8198,0.67737,0.91897,1.04094,0.00121679,0.00121679,0.00121679
17,75.7144,0.70431,0.50646,0.9409,0.84466,0.86187,0.995,0.8095,0.6594,0.91591,0.99649,0.00120265,0.00120265,0.00120265
18,80.1103,0.70893,0.50087,0.97171,0.86571,0.99392,0.995,0.82115,0.66552,0.61518,1.00485,0.0011885,0.0011885,0.0011885
19,84.5297,0.70056,0.49442,0.97407,0.88003,0.98183,0.995,0.87462,0.58764,0.56976,0.94047,0.00117435,0.00117435,0.00117435
20,90.0469,0.67022,0.48361,0.94273,0.97117,1,0.995,0.9052,0.5205,0.55514,0.9027,0.00116021,0.00116021,0.00116021
21,95.7075,0.68105,0.48019,0.9646,0.97096,0.99913,0.995,0.91364,0.45211,0.42656,0.88809,0.00114606,0.00114606,0.00114606
22,101.288,0.60628,0.43994,0.94658,0.95908,1,0.995,0.89162,0.46459,0.45349,0.88046,0.00113191,0.00113191,0.00113191
23,105.701,0.60289,0.42161,0.93423,0.94904,0.99553,0.995,0.88641,0.51694,0.46735,0.89046,0.00111776,0.00111776,0.00111776
24,110.043,0.63882,0.43647,0.96854,0.96261,0.98473,0.995,0.87516,0.51058,0.42724,0.88877,0.00110362,0.00110362,0.00110362
25,114.387,0.64602,0.42394,0.968,0.94647,0.98932,0.995,0.87206,0.46393,0.45522,0.87556,0.00108947,0.00108947,0.00108947
26,118.81,0.61914,0.4055,0.95223,0.85578,1,0.98767,0.85663,0.56026,0.86113,0.91387,0.00107532,0.00107532,0.00107532
27,123.14,0.58047,0.39681,0.93009,0.88371,1,0.99133,0.89152,0.49305,0.66327,0.89099,0.00106118,0.00106118,0.00106118
28,127.52,0.62216,0.41008,0.96495,0.87033,0.99885,0.995,0.87772,0.51899,0.55009,0.91696,0.00104703,0.00104703,0.00104703
29,131.96,0.59566,0.40595,0.93961,0.86867,0.91098,0.96383,0.79584,0.61647,0.63135,0.99986,0.00103288,0.00103288,0.00103288
30,138.268,0.59487,0.39826,0.93494,0.91265,1,0.98033,0.88781,0.46782,0.46871,0.87588,0.00101873,0.00101873,0.00101873
31,142.58,0.59912,0.39296,0.93489,0.93949,1,0.995,0.88464,0.46801,0.75306,0.8912,0.00100459,0.00100459,0.00100459
32,146.916,0.60176,0.39772,0.91973,0.96123,1,0.995,0.90072,0.45098,0.46658,0.86751,0.00099044,0.00099044,0.00099044
33,151.313,0.59316,0.37154,0.92637,0.98995,1,0.995,0.89688,0.48822,0.30618,0.88198,0.000976293,0.000976293,0.000976293
34,155.658,0.57593,0.38519,0.90713,0.99165,1,0.995,0.89515,0.52948,0.30408,0.89473,0.000962146,0.000962146,0.000962146
35,159.983,0.61525,0.37011,0.94529,0.99199,1,0.995,0.87971,0.5643,0.28107,0.98558,0.000947999,0.000947999,0.000947999
36,164.357,0.56004,0.38515,0.91676,0.99308,1,0.995,0.88176,0.4989,0.29257,0.88261,0.000933851,0.000933851,0.000933851
37,168.716,0.59543,0.37537,0.9582,0.99185,1,0.995,0.90715,0.42751,0.26259,0.86439,0.000919704,0.000919704,0.000919704
38,173.06,0.62793,0.38956,0.9529,0.9885,1,0.995,0.89037,0.46861,0.27999,0.89964,0.000905557,0.000905557,0.000905557
39,177.466,0.57812,0.36542,0.93748,0.99311,1,0.995,0.90647,0.41107,0.25661,0.86882,0.00089141,0.00089141,0.00089141
40,181.763,0.62687,0.37897,0.96084,0.99186,1,0.995,0.88818,0.44003,0.27501,0.88955,0.000877263,0.000877263,0.000877263
41,186.067,0.56395,0.37113,0.95018,0.99158,1,0.995,0.8851,0.45404,0.26041,0.88894,0.000863116,0.000863116,0.000863116
42,190.503,0.58072,0.36099,0.92836,0.98332,1,0.995,0.90954,0.46133,0.32636,0.88637,0.000848969,0.000848969,0.000848969
43,194.817,0.54574,0.34251,0.91577,0.93386,0.98366,0.995,0.89966,0.47932,0.4212,0.88963,0.000834822,0.000834822,0.000834822
44,199.335,0.55564,0.34295,0.92394,0.91797,1,0.995,0.89584,0.46386,0.38998,0.87918,0.000820675,0.000820675,0.000820675
45,203.709,0.56372,0.3604,0.92034,0.99083,1,0.995,0.9069,0.43086,0.24522,0.8729,0.000806528,0.000806528,0.000806528
46,208.049,0.55274,0.34408,0.91043,0.99073,1,0.995,0.91002,0.42118,0.2475,0.85949,0.00079238,0.00079238,0.00079238
47,212.538,0.54254,0.36706,0.90142,0.99329,1,0.995,0.90455,0.42945,0.24134,0.86124,0.000778233,0.000778233,0.000778233
48,216.873,0.5664,0.36747,0.93291,0.99222,1,0.995,0.90424,0.42131,0.24102,0.86015,0.000764086,0.000764086,0.000764086
49,221.25,0.52689,0.34814,0.92256,0.99202,1,0.995,0.90321,0.46804,0.25634,0.87642,0.000749939,0.000749939,0.000749939
50,225.582,0.5297,0.33387,0.91903,0.99132,1,0.995,0.92002,0.39161,0.23692,0.86001,0.000735792,0.000735792,0.000735792
51,231.231,0.54374,0.32269,0.918,0.99075,1,0.995,0.93496,0.39833,0.24267,0.86189,0.000721645,0.000721645,0.000721645
52,236.779,0.50081,0.31837,0.90314,0.9899,1,0.995,0.93459,0.40455,0.22808,0.86084,0.000707498,0.000707498,0.000707498
53,241.177,0.51995,0.34283,0.8885,0.992,1,0.995,0.92585,0.39807,0.22265,0.86163,0.000693351,0.000693351,0.000693351
54,245.507,0.49495,0.3209,0.91198,0.98832,1,0.995,0.91009,0.41478,0.25317,0.86233,0.000679204,0.000679204,0.000679204
55,249.884,0.5294,0.33939,0.89966,0.98601,1,0.995,0.9158,0.41726,0.26643,0.86416,0.000665057,0.000665057,0.000665057
56,254.205,0.52686,0.32972,0.9062,0.98662,1,0.995,0.90431,0.44476,0.26583,0.87847,0.000650909,0.000650909,0.000650909
57,258.529,0.53318,0.34283,0.93514,0.99198,1,0.995,0.89316,0.43734,0.24098,0.87059,0.000636762,0.000636762,0.000636762
58,262.907,0.50005,0.3089,0.89608,0.99018,1,0.995,0.90938,0.42932,0.23936,0.86934,0.000622615,0.000622615,0.000622615
59,267.19,0.5027,0.31062,0.92904,0.98995,1,0.995,0.89846,0.41232,0.23113,0.86827,0.000608468,0.000608468,0.000608468
60,271.543,0.51702,0.31213,0.91014,0.99302,1,0.995,0.93298,0.41866,0.2212,0.86536,0.000594321,0.000594321,0.000594321
61,275.907,0.50142,0.31224,0.90556,0.99047,1,0.995,0.92979,0.42244,0.22057,0.86432,0.000580174,0.000580174,0.000580174
62,280.275,0.5195,0.32667,0.92777,0.9906,1,0.995,0.9339,0.3511,0.21072,0.85795,0.000566027,0.000566027,0.000566027
63,284.576,0.50132,0.33944,0.9032,0.9882,1,0.995,0.94619,0.35921,0.21684,0.85586,0.00055188,0.00055188,0.00055188
64,289.98,0.47792,0.29853,0.87941,0.99079,1,0.995,0.94223,0.38164,0.21934,0.86036,0.000537733,0.000537733,0.000537733
65,294.328,0.52127,0.31115,0.90892,0.99231,1,0.995,0.93603,0.36556,0.21508,0.85666,0.000523586,0.000523586,0.000523586
66,298.666,0.48707,0.29671,0.89148,0.99247,1,0.995,0.94049,0.36515,0.20432,0.85056,0.000509438,0.000509438,0.000509438
67,302.984,0.50967,0.29394,0.93088,0.99225,1,0.995,0.94714,0.36596,0.19906,0.84381,0.000495291,0.000495291,0.000495291
68,308.548,0.46475,0.31481,0.89102,0.99205,1,0.995,0.93848,0.36564,0.20073,0.8462,0.000481144,0.000481144,0.000481144
69,312.909,0.45249,0.28175,0.88204,0.99166,1,0.995,0.93957,0.38916,0.20602,0.85467,0.000466997,0.000466997,0.000466997
