epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.70632,1.01177,2.85649,1.16931,0.77114,0.84855,0.93506,0.85608,0.47563,1.53156,0.88483,0.00012861,0.00012861,0.00012861
2,7.13045,0.64554,0.93803,0.96979,0.7815,1,0.995,0.80893,0.70361,0.71462,0.9759,0.000268822,0.000268822,0.000268822
3,10.5131,0.65878,0.73184,0.94846,0.98291,1,0.995,0.83811,0.66398,0.54303,0.96148,0.000406205,0.000406205,0.000406205
4,13.8842,0.67784,0.72855,0.98384,0.99183,1,0.995,0.86737,0.59043,0.72641,0.94058,0.000540758,0.000540758,0.000540758
5,18.2446,0.74247,0.66601,1.01522,0.17073,0.85185,0.24598,0.20507,0.63041,13.0262,1.01405,0.000672482,0.000672482,0.000672482
6,21.6281,0.69905,0.65577,0.96821,0.3405,0.88208,0.77173,0.55503,1.05168,3.69357,1.44123,0.000801376,0.000801376,0.000801376
7,25.0509,0.73675,0.62621,0.9615,0.66418,0.2963,0.30552,0.23508,1.08543,4.0603,1.40465,0.000927441,0.000927441,0.000927441
8,28.4389,0.68921,0.54433,0.95525,0.85867,0.62963,0.83697,0.63093,0.66106,1.54736,0.98624,0.00105068,0.00105068,0.00105068
9,31.7999,0.71872,0.54519,0.96358,0.7481,0.61,0.78958,0.56718,0.88529,2.23981,1.17726,0.00117108,0.00117108,0.00117108
10,35.1869,0.67315,0.52467,0.94443,0.88019,1,0.97667,0.79514,0.7095,0.70938,1.01995,0.00128866,0.00128866,0.00128866
11,38.5733,0.75541,0.50442,0.98374,0.85932,0.93824,0.95859,0.81455,0.57474,0.75932,0.91948,0.00128753,0.00128753,0.00128753
12,41.964,0.74764,0.57005,0.99782,0.86712,0.83257,0.91311,0.75247,0.79439,1.10626,1.0571,0.00127338,0.00127338,0.00127338
13,45.4139,0.68098,0.48284,0.97116,0.88763,0.86709,0.93022,0.79193,0.76873,1.06136,1.05755,0.00125923,0.00125923,0.00125923
14,48.8249,0.63039,0.42203,0.94014,0.73746,0.91439,0.90136,0.68405,0.69532,0.77399,1.05626,0.00124509,0.00124509,0.00124509
15,52.2108,0.71794,0.45516,0.97431,0.86442,0.88889,0.92289,0.74822,0.62674,0.73159,1.00305,0.00123094,0.00123094,0.00123094
16,55.5651,0.64926,0.48941,0.95322,0.91759,1,0.99133,0.85831,0.5917,0.48934,0.98499,0.00121679,0.00121679,0.00121679
17,58.9443,0.63685,0.45411,0.92111,0.98074,1,0.995,0.82143,0.59419,0.55816,0.97897,0.00120265,0.00120265,0.00120265
18,62.4015,0.65989,0.47275,0.95808,0.97748,1,0.995,0.9114,0.46667,0.51012,0.88425,0.0011885,0.0011885,0.0011885
19,66.7249,0.60727,0.45045,0.93257,0.85532,1,0.995,0.89683,0.48254,0.70173,0.88243,0.00117435,0.00117435,0.00117435
20,70.1154,0.68062,0.42384,0.93781,0.76939,0.97761,0.995,0.86536,0.58858,1.27557,0.92999,0.00116021,0.00116021,0.00116021
21,73.4999,0.63,0.43006,0.93393,0.69656,0.96296,0.98767,0.8679,0.53891,0.96439,0.90902,0.00114606,0.00114606,0.00114606
22,76.891,0.66249,0.41079,0.94626,0.92895,1,0.995,0.89379,0.50159,0.5973,0.88576,0.00113191,0.00113191,0.00113191
23,80.2946,0.59924,0.39119,0.92007,0.92882,1,0.995,0.86103,0.57975,0.58298,0.92758,0.00111776,0.00111776,0.00111776
24,83.7513,0.67243,0.40826,0.96603,0.95604,1,0.995,0.87257,0.55434,0.43181,0.91617,0.00110362,0.00110362,0.00110362
25,87.1187,0.64164,0.40389,0.95528,0.93883,0.98631,0.995,0.90629,0.4938,0.40458,0.89464,0.00108947,0.00108947,0.00108947
26,90.5319,0.63,0.40819,0.93455,0.96241,1,0.995,0.8969,0.43971,0.34377,0.87256,0.00107532,0.00107532,0.00107532
27,93.9278,0.54337,0.39757,0.90894,0.9763,1,0.995,0.89634,0.45442,0.33211,0.87451,0.00106118,0.00106118,0.00106118
28,97.3105,0.61043,0.4028,0.95862,0.98343,1,0.995,0.88849,0.45639,0.32285,0.87202,0.00104703,0.00104703,0.00104703
29,100.692,0.58615,0.39448,0.93102,0.98374,1,0.995,0.92093,0.43639,0.28177,0.87153,0.00103288,0.00103288,0.00103288
30,105.138,0.5638,0.37681,0.92184,0.97283,0.93308,0.98372,0.88522,0.4887,0.48101,0.88824,0.00101873,0.00101873,0.00101873
31,108.562,0.55585,0.36795,0.92981,0.94801,0.89014,0.995,0.90416,0.50423,0.53449,0.88994,0.00100459,0.00100459,0.00100459
32,111.94,0.51777,0.35979,0.89042,0.98662,1,0.995,0.90072,0.4969,0.34626,0.88351,0.00099044,0.00099044,0.00099044
33,115.339,0.53897,0.34879,0.90335,0.98918,1,0.995,0.88962,0.47737,0.29177,0.8847,0.000976293,0.000976293,0.000976293
34,118.757,0.56998,0.38126,0.9025,0.88186,0.96296,0.9819,0.78509,0.52889,0.5071,0.90798,0.000962146,0.000962146,0.000962146
35,122.102,0.5504,0.34475,0.92426,0.9891,1,0.995,0.8749,0.50639,0.29091,0.90019,0.000947999,0.000947999,0.000947999
36,125.522,0.5058,0.35886,0.89106,0.9894,1,0.995,0.89387,0.48738,0.29135,0.87708,0.000933851,0.000933851,0.000933851
37,128.936,0.54277,0.36378,0.93482,0.99172,1,0.995,0.89897,0.41453,0.2762,0.85622,0.000919704,0.000919704,0.000919704
