epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.70463,0.96143,3.26921,1.04568,0.01018,0.96296,0.32237,0.28164,0.52,2.98923,0.81734,0.00012861,0.00012861,0.00012861
2,2.73687,0.72507,2.58389,0.9448,0.01023,1,0.73764,0.62985,0.5454,2.77559,0.79361,0.000268822,0.000268822,0.000268822
3,3.73106,0.65651,1.87336,0.89611,0.01006,1,0.84904,0.76175,0.50283,2.6384,0.78134,0.000406205,0.000406205,0.000406205
4,4.73555,0.71724,1.59905,0.94429,0.01002,1,0.89847,0.82486,0.49609,2.57223,0.78153,0.000540758,0.000540758,0.000540758
5,5.71918,0.74386,1.26968,0.97158,0.99406,0.50955,0.97244,0.81304,0.57931,2.3222,0.83412,0.000672482,0.000672482,0.000672482
6,6.71482,0.71102,1.11598,0.93981,0.97944,0.40168,0.95068,0.81967,0.54489,2.15319,0.82291,0.000801376,0.000801376,0.000801376
7,7.67066,0.70634,1.03963,0.92058,0.97673,0.40353,0.995,0.80829,0.61136,1.98507,0.84366,0.000927441,0.000927441,0.000927441
8,8.70158,0.69755,0.91357,0.91714,0.9712,0.73806,0.995,0.83047,0.63222,1.72286,0.86718,0.00105068,0.00105068,0.00105068
9,9.66536,0.67511,0.91553,0.90999,0.9691,0.84339,0.995,0.85744,0.61172,1.62722,0.85382,0.00117108,0.00117108,0.00117108
10,10.6494,0.63908,0.87679,0.90422,0.82249,0.88871,0.995,0.86575,0.57274,1.21499,0.83063,0.00128866,0.00128866,0.00128866
11,11.6212,0.64468,0.84687,0.88621,0.94793,0.95865,0.995,0.87672,0.57846,1.08254,0.84287,0.00128753,0.00128753,0.00128753
12,12.5705,0.64834,0.84421,0.92498,0.98043,0.97551,0.995,0.8591,0.58792,1.05979,0.83847,0.00127338,0.00127338,0.00127338
13,13.5308,0.61683,0.79241,0.90078,0.96582,0.97811,0.995,0.84886,0.57762,0.93242,0.83511,0.00125923,0.00125923,0.00125923
14,14.4922,0.59701,0.76499,0.87794,0.99276,1,0.995,0.91218,0.44697,0.62116,0.85036,0.00124509,0.00124509,0.00124509
15,15.4593,0.61573,0.77443,0.90925,0.99172,1,0.995,0.90241,0.44996,0.6467,0.85204,0.00123094,0.00123094,0.00123094
16,16.4036,0.60658,0.78684,0.91686,0.94941,1,0.995,0.91527,0.46764,0.81596,0.85303,0.00121679,0.00121679,0.00121679
17,17.4069,0.57995,0.75676,0.88776,0.97934,1,0.995,0.89599,0.49202,0.73675,0.8567,0.00120265,0.00120265,0.00120265
18,18.3762,0.61101,0.76727,0.91444,0.98078,1,0.995,0.90524,0.45044,0.57764,0.84426,0.0011885,0.0011885,0.0011885
19,19.3373,0.55975,0.73617,0.89087,0.98481,1,0.995,0.92117,0.40692,0.53023,0.83761,0.00117435,0.00117435,0.00117435
20,20.3272,0.59895,0.71623,0.88358,0.99258,1,0.995,0.90689,0.47805,0.54952,0.86135,0.00116021,0.00116021,0.00116021
21,21.2594,0.6039,0.73064,0.89111,0.97965,1,0.995,0.89373,0.47484,0.5704,0.85713,0.00114606,0.00114606,0.00114606
22,22.2613,0.58881,0.71674,0.90116,0.99179,1,0.995,0.90678,0.44094,0.47195,0.83876,0.00113191,0.00113191,0.00113191
23,23.2064,0.60061,0.68606,0.88969,0.98963,1,0.995,0.90504,0.4419,0.48021,0.83471,0.00111776,0.00111776,0.00111776
24,24.1518,0.58532,0.69646,0.9061,0.98768,1,0.995,0.88903,0.49123,0.50016,0.8433,0.00110362,0.00110362,0.00110362
25,25.1622,0.57556,0.68942,0.89268,0.98453,1,0.995,0.89402,0.46092,0.5286,0.82994,0.00108947,0.00108947,0.00108947
26,26.1274,0.5329,0.65503,0.87675,0.98905,1,0.995,0.92537,0.41812,0.48281,0.83023,0.00107532,0.00107532,0.00107532
27,27.1103,0.53199,0.64634,0.88059,0.98853,1,0.995,0.93111,0.39703,0.4589,0.83689,0.00106118,0.00106118,0.00106118
28,28.0706,0.54768,0.63016,0.88622,0.9881,1,0.995,0.94331,0.38353,0.47305,0.8409,0.00104703,0.00104703,0.00104703
29,29.023,0.52912,0.66396,0.87564,0.98618,1,0.995,0.93559,0.37187,0.47628,0.83966,0.00103288,0.00103288,0.00103288
30,29.9946,0.54022,0.61882,0.88811,0.98933,1,0.995,0.90921,0.39637,0.46261,0.84202,0.00101873,0.00101873,0.00101873
31,30.9295,0.53522,0.62892,0.89781,0.99335,1,0.995,0.92782,0.38438,0.4648,0.84379,0.00100459,0.00100459,0.00100459
32,31.873,0.5076,0.60639,0.85981,0.99259,1,0.995,0.93437,0.38955,0.47206,0.84414,0.00099044,0.00099044,0.00099044
33,32.8295,0.52063,0.59902,0.8725,0.99209,1,0.995,0.93065,0.40904,0.47025,0.84354,0.000976293,0.000976293,0.000976293
34,33.8665,0.52421,0.59659,0.87402,0.99367,1,0.995,0.92724,0.38987,0.43838,0.84529,0.000962146,0.000962146,0.000962146
35,34.8281,0.51726,0.57585,0.87887,0.99304,1,0.995,0.93845,0.3785,0.43648,0.84384,0.000947999,0.000947999,0.000947999
36,35.8089,0.46839,0.57247,0.85991,0.99344,1,0.995,0.93107,0.3908,0.42988,0.84942,0.000933851,0.000933851,0.000933851
37,36.7789,0.51104,0.60301,0.8911,0.99321,1,0.995,0.92946,0.38639,0.45124,0.85003,0.000919704,0.000919704,0.000919704
38,37.7371,0.52638,0.59979,0.88002,0.99403,1,0.995,0.94382,0.35163,0.45749,0.8369,0.000905557,0.000905557,0.000905557
39,38.6777,0.46899,0.56334,0.88191,0.99115,1,0.995,0.92602,0.37198,0.44106,0.83752,0.00089141,0.00089141,0.00089141
40,39.6446,0.53034,0.58133,0.89591,0.99177,1,0.995,0.93201,0.37862,0.42856,0.8377,0.000877263,0.000877263,0.000877263
41,40.599,0.48159,0.58284,0.87548,0.99295,1,0.995,0.93093,0.38132,0.40307,0.83322,0.000863116,0.000863116,0.000863116
42,41.5992,0.50611,0.55282,0.86594,0.98996,1,0.995,0.92361,0.40618,0.42377,0.83461,0.000848969,0.000848969,0.000848969
43,42.5537,0.49937,0.55166,0.8778,0.99244,1,0.995,0.94084,0.39984,0.41452,0.83958,0.000834822,0.000834822,0.000834822
44,43.5107,0.47641,0.53151,0.87272,0.98981,1,0.995,0.93157,0.40622,0.40235,0.84281,0.000820675,0.000820675,0.000820675
45,44.4753,0.50842,0.57473,0.88699,0.98919,1,0.995,0.92716,0.4081,0.40855,0.84505,0.000806528,0.000806528,0.000806528
46,45.4243,0.47587,0.53121,0.86015,0.98844,1,0.995,0.93483,0.37471,0.38831,0.84344,0.00079238,0.00079238,0.00079238
47,46.3826,0.46442,0.54896,0.86821,0.98888,1,0.995,0.92776,0.37557,0.39198,0.84,0.000778233,0.000778233,0.000778233
48,47.3301,0.48638,0.56439,0.8757,0.99203,1,0.995,0.93568,0.36354,0.39748,0.83824,0.000764086,0.000764086,0.000764086
49,48.3718,0.47977,0.54715,0.88062,0.99306,1,0.995,0.93409,0.38001,0.38346,0.84229,0.000749939,0.000749939,0.000749939
50,49.3218,0.45461,0.51331,0.85901,0.99427,1,0.995,0.92084,0.39591,0.40078,0.84603,0.000735792,0.000735792,0.000735792
51,50.2664,0.47561,0.51452,0.86472,0.99378,1,0.995,0.92146,0.37944,0.39008,0.84145,0.000721645,0.000721645,0.000721645
52,51.2154,0.47383,0.52007,0.8687,0.99375,1,0.995,0.92937,0.36999,0.36944,0.84114,0.000707498,0.000707498,0.000707498
53,52.1705,0.45888,0.50747,0.84912,0.99172,1,0.995,0.92428,0.37423,0.38222,0.84317,0.000693351,0.000693351,0.000693351
54,53.1479,0.44658,0.52249,0.85749,0.99235,1,0.995,0.93037,0.34676,0.36993,0.83503,0.000679204,0.000679204,0.000679204
55,54.1017,0.45149,0.51239,0.85052,0.99391,1,0.995,0.93425,0.34399,0.36601,0.83789,0.000665057,0.000665057,0.000665057
56,55.0675,0.44833,0.48394,0.86293,0.99302,1,0.995,0.93311,0.34286,0.35067,0.84058,0.000650909,0.000650909,0.000650909
57,56.0773,0.4443,0.52757,0.88189,0.99229,1,0.995,0.92901,0.35547,0.34262,0.84041,0.000636762,0.000636762,0.000636762
