epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.0016,1.0636,3.06716,1.17166,0.89954,0.91815,0.98833,0.88285,0.47606,1.37447,0.87783,0.00012861,0.00012861,0.00012861
2,3.99928,0.67316,0.9937,0.94977,0.98181,1,0.995,0.90819,0.4747,0.81437,0.8919,0.000268822,0.000268822,0.000268822
3,6.00883,0.61323,0.73329,0.92465,0.98868,1,0.995,0.87712,0.56986,0.77948,0.91847,0.000406205,0.000406205,0.000406205
4,7.75803,0.66769,0.66911,0.97758,0.96405,0.99339,0.995,0.91624,0.42299,0.49896,0.8669,0.000540758,0.000540758,0.000540758
5,9.77751,0.63249,0.60699,0.98376,0.9643,0.99718,0.995,0.86019,0.54115,0.54554,0.90606,0.000672482,0.000672482,0.000672482
6,11.4887,0.5978,0.54487,0.93014,0.95212,1,0.995,0.88853,0.49678,0.4673,0.8892,0.000801376,0.000801376,0.000801376
7,13.1912,0.62897,0.53136,0.93416,0.96705,1,0.995,0.88575,0.51892,0.54307,0.90773,0.000927441,0.000927441,0.000927441
8,14.9654,0.60709,0.49107,0.93279,0.84727,0.96151,0.99133,0.86636,0.59036,0.70516,0.95253,0.00105068,0.00105068,0.00105068
9,16.6565,0.65646,0.49144,0.95521,0.93818,0.96194,0.98833,0.84113,0.62338,0.60093,0.95335,0.00117108,0.00117108,0.00117108
10,18.3744,0.59137,0.48198,0.9241,0.90329,0.96708,0.995,0.90717,0.44922,0.45283,0.88899,0.00128866,0.00128866,0.00128866
11,20.0775,0.58972,0.44787,0.92122,0.98288,1,0.995,0.88918,0.4678,0.38892,0.89245,0.00128753,0.00128753,0.00128753
12,21.7786,0.62066,0.46941,0.95989,0.97982,1,0.995,0.87877,0.48852,0.38215,0.9019,0.00127338,0.00127338,0.00127338
13,23.4939,0.62498,0.45925,0.95073,0.93186,1,0.995,0.89766,0.50795,0.46692,0.89677,0.00125923,0.00125923,0.00125923
14,25.2389,0.59265,0.41552,0.92531,0.98992,1,0.995,0.9138,0.41445,0.32891,0.85598,0.00124509,0.00124509,0.00124509
15,26.9582,0.64038,0.42902,0.93354,0.98057,1,0.995,0.89457,0.46967,0.33954,0.87408,0.00123094,0.00123094,0.00123094
16,28.663,0.58839,0.43352,0.93414,0.98947,1,0.995,0.87719,0.49758,0.32273,0.88731,0.00121679,0.00121679,0.00121679
17,30.4107,0.55357,0.38447,0.89897,0.98815,1,0.995,0.89004,0.48935,0.32792,0.88405,0.00120265,0.00120265,0.00120265
18,32.1249,0.58426,0.41834,0.93157,0.95519,1,0.995,0.8988,0.44977,0.32652,0.87291,0.0011885,0.0011885,0.0011885
19,33.8465,0.52068,0.37468,0.90542,0.99309,1,0.995,0.91644,0.40647,0.27257,0.85777,0.00117435,0.00117435,0.00117435
20,35.8921,0.558,0.37971,0.90981,0.98483,1,0.995,0.89655,0.46238,0.31554,0.8755,0.00116021,0.00116021,0.00116021
21,37.6009,0.55678,0.37836,0.91413,0.98603,1,0.995,0.89111,0.47467,0.31977,0.87571,0.00114606,0.00114606,0.00114606
