epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5141,3.52877,4.46025,4.13487,0.0007,0.17896,0.00176,0.00047,3.58677,4.15584,4.09848,0.00032963,0.00032963,0.00032963
2,31.3218,3.16918,4.11898,3.66046,0.00307,0.29146,0.01003,0.00207,3.50032,4.46727,3.69132,0.0006564,0.0006564,0.0006564
3,46.6307,2.81662,3.73187,3.19988,0.38207,0.11127,0.04081,0.00968,3.049,3.85037,3.26853,0.00097657,0.00097657,0.00097657
4,61.7228,2.64172,3.45783,2.96974,0.35607,0.10736,0.02403,0.0062,2.8799,3.90481,3.02938,0.0009703,0.0009703,0.0009703
5,76.963,2.45709,3.27766,2.79205,0.3941,0.18023,0.03918,0.01098,2.80452,3.71205,3.01816,0.0009604,0.0009604,0.0009604
6,92.1856,2.34964,3.10766,2.68654,0.08598,0.14897,0.06366,0.02109,2.63539,3.4748,2.84045,0.0009505,0.0009505,0.0009505
7,107.038,2.24873,2.98223,2.60672,0.41047,0.04403,0.04857,0.01927,2.89673,3.69401,3.41586,0.0009406,0.0009406,0.0009406
8,121.954,2.14639,2.77408,2.48957,0.09419,0.20861,0.09832,0.02969,2.57742,2.98963,2.71699,0.0009307,0.0009307,0.0009307
9,136.819,2.10941,2.66188,2.42894,0.4543,0.13164,0.12216,0.04457,2.59192,2.92467,2.74735,0.0009208,0.0009208,0.0009208
10,151.723,1.98362,2.55395,2.34465,0.15469,0.30682,0.15568,0.05336,2.4789,2.7929,2.63893,0.0009109,0.0009109,0.0009109
11,166.926,1.95496,2.44317,2.28266,0.41181,0.27106,0.22308,0.08126,2.31417,2.56481,2.49948,0.000901,0.000901,0.000901
12,181.928,1.92333,2.38508,2.24779,0.24045,0.32825,0.23046,0.08903,2.40159,2.65669,2.61589,0.0008911,0.0008911,0.0008911
13,196.998,1.87761,2.28577,2.20916,0.16122,0.25171,0.11589,0.03902,2.5361,3.18028,2.70877,0.0008812,0.0008812,0.0008812
14,211.924,1.84164,2.24114,2.1756,0.39237,0.31144,0.2263,0.08177,2.30224,2.62249,2.54714,0.0008713,0.0008713,0.0008713
15,227.014,1.84197,2.20152,2.13245,0.50966,0.37758,0.37206,0.14941,2.12395,2.13001,2.32427,0.0008614,0.0008614,0.0008614
16,241.875,1.82157,2.20814,2.14111,0.28422,0.49247,0.33199,0.14418,2.16247,2.36722,2.39502,0.0008515,0.0008515,0.0008515
17,256.77,1.77638,2.11915,2.08695,0.4982,0.37409,0.36884,0.15069,2.06243,2.21259,2.26357,0.0008416,0.0008416,0.0008416
18,271.719,1.77737,2.10192,2.09024,0.4655,0.37715,0.31365,0.12272,2.17795,2.33167,2.41318,0.0008317,0.0008317,0.0008317
19,286.517,1.75374,2.04182,2.05282,0.28091,0.39518,0.30275,0.12721,2.31716,2.31743,2.43011,0.0008218,0.0008218,0.0008218
20,301.581,1.72827,2.00774,2.03907,0.61907,0.43623,0.43192,0.16305,2.16628,2.43351,2.39262,0.0008119,0.0008119,0.0008119
21,316.387,1.72537,2.02211,2.04119,0.2549,0.3284,0.27617,0.10824,2.35161,2.61253,2.56436,0.000802,0.000802,0.000802
22,331.618,1.72163,1.97171,2.02281,0.28681,0.40289,0.30803,0.11994,2.1817,2.4639,2.39947,0.0007921,0.0007921,0.0007921
23,346.711,1.70034,1.92381,1.99843,0.53295,0.43262,0.41649,0.17932,2.02482,2.25062,2.24265,0.0007822,0.0007822,0.0007822
24,361.643,1.69198,1.92317,1.9956,0.56871,0.3509,0.38097,0.17469,2.07903,2.37798,2.33664,0.0007723,0.0007723,0.0007723
25,376.528,1.6616,1.89415,1.96418,0.23796,0.28344,0.2076,0.08568,2.28188,2.87465,2.53111,0.0007624,0.0007624,0.0007624
26,391.522,1.6882,1.86939,1.96655,0.40154,0.2504,0.19753,0.07154,2.5874,3.05147,2.77441,0.0007525,0.0007525,0.0007525
27,406.546,1.66022,1.84903,1.9498,0.53467,0.33737,0.35191,0.13567,2.212,2.40174,2.40924,0.0007426,0.0007426,0.0007426
28,421.502,1.63898,1.83154,1.93389,0.4723,0.54036,0.49519,0.22005,1.89345,1.92873,2.09906,0.0007327,0.0007327,0.0007327
29,436.703,1.6404,1.84894,1.94507,0.32476,0.20591,0.11917,0.04744,2.58551,3.62534,2.92435,0.0007228,0.0007228,0.0007228
30,452.365,1.62908,1.81694,1.92058,0.63134,0.46917,0.53399,0.22962,1.88057,1.87152,2.09228,0.0007129,0.0007129,0.0007129
31,467.393,1.63401,1.80332,1.91642,0.66463,0.47926,0.54126,0.24958,1.86685,1.85546,2.0895,0.000703,0.000703,0.000703
32,482.491,1.5904,1.75416,1.88871,0.29101,0.34499,0.24262,0.08885,2.20564,2.76613,2.52446,0.0006931,0.0006931,0.0006931
33,497.495,1.60363,1.79618,1.89471,0.49886,0.37262,0.31881,0.1196,2.16617,2.45106,2.40157,0.0006832,0.0006832,0.0006832
34,512.442,1.59526,1.7897,1.89136,0.36405,0.53313,0.4374,0.17713,2.00958,2.05294,2.19445,0.0006733,0.0006733,0.0006733
35,527.195,1.59223,1.77994,1.89058,0.64906,0.52663,0.58679,0.26267,1.82077,1.86645,2.03708,0.0006634,0.0006634,0.0006634
36,542.005,1.5708,1.72392,1.86651,0.67809,0.4767,0.5702,0.25947,1.87677,1.77412,2.06092,0.0006535,0.0006535,0.0006535
37,556.836,1.61634,1.74739,1.89207,0.64462,0.46541,0.51708,0.22918,1.91389,1.93531,2.12032,0.0006436,0.0006436,0.0006436
38,571.631,1.59186,1.7185,1.88112,0.40493,0.52695,0.5066,0.2283,1.91872,1.93981,2.13409,0.0006337,0.0006337,0.0006337
39,586.29,1.55519,1.71735,1.85502,0.49679,0.588,0.57327,0.26586,1.85327,1.75521,2.04915,0.0006238,0.0006238,0.0006238
40,600.956,1.54497,1.67249,1.84155,0.63331,0.49497,0.57153,0.26547,1.78819,1.70697,2.02698,0.0006139,0.0006139,0.0006139
41,615.834,1.53349,1.68638,1.84493,0.59458,0.35945,0.4283,0.17678,1.93802,2.20484,2.17392,0.000604,0.000604,0.000604
42,630.5,1.53251,1.65613,1.82794,0.45575,0.51351,0.47617,0.21011,1.91384,2.11871,2.16594,0.0005941,0.0005941,0.0005941
43,645.295,1.55457,1.68617,1.84934,0.63926,0.49136,0.51569,0.23305,1.85164,2.05107,2.03728,0.0005842,0.0005842,0.0005842
44,659.977,1.53633,1.65516,1.8311,0.4565,0.60239,0.54725,0.24694,1.84767,1.74672,2.03826,0.0005743,0.0005743,0.0005743
45,674.724,1.54027,1.63956,1.83026,0.5047,0.35575,0.33691,0.13924,2.05618,2.53821,2.35321,0.0005644,0.0005644,0.0005644
46,689.376,1.52197,1.63473,1.81324,0.6077,0.36524,0.37,0.15077,2.14416,2.48018,2.34762,0.0005545,0.0005545,0.0005545
47,704.151,1.51023,1.62728,1.80847,0.4553,0.57179,0.51952,0.23962,1.85783,1.87737,2.10539,0.0005446,0.0005446,0.0005446
48,718.966,1.4875,1.60439,1.79638,0.50067,0.605,0.58742,0.27316,1.7898,1.6603,2.01095,0.0005347,0.0005347,0.0005347
49,733.796,1.52547,1.6439,1.82989,0.63604,0.41362,0.4904,0.21398,1.91146,1.90366,2.15802,0.0005248,0.0005248,0.0005248
50,748.598,1.49025,1.59557,1.79341,0.63648,0.26353,0.33356,0.11978,2.27719,2.67337,2.4261,0.0005149,0.0005149,0.0005149
51,763.147,1.48793,1.57663,1.78646,0.50189,0.63272,0.61571,0.29599,1.73037,1.6711,1.94843,0.000505,0.000505,0.000505
52,777.949,1.48573,1.57154,1.78706,0.61949,0.52939,0.60571,0.2792,1.75601,1.6641,1.97843,0.0004951,0.0004951,0.0004951
53,792.748,1.46561,1.54971,1.76846,0.55918,0.58181,0.58569,0.26461,1.82116,1.74381,2.03464,0.0004852,0.0004852,0.0004852
54,807.514,1.49877,1.56036,1.78888,0.55108,0.66652,0.64634,0.30781,1.73701,1.59634,1.956,0.0004753,0.0004753,0.0004753
55,822.356,1.46482,1.56811,1.77438,0.5403,0.59698,0.60826,0.28159,1.79916,1.63261,2.02857,0.0004654,0.0004654,0.0004654
56,837.056,1.47686,1.5786,1.79181,0.51279,0.668,0.63177,0.30166,1.73749,1.60402,1.96877,0.0004555,0.0004555,0.0004555
57,851.757,1.47708,1.58452,1.77759,0.48457,0.63355,0.57549,0.27594,1.79457,1.75115,2.00229,0.0004456,0.0004456,0.0004456
58,866.583,1.47065,1.56944,1.77828,0.42437,0.5142,0.44189,0.17465,2.10982,2.33696,2.37468,0.0004357,0.0004357,0.0004357
59,881.485,1.44664,1.52494,1.74967,0.70843,0.58148,0.65716,0.31404,1.71459,1.54749,1.94969,0.0004258,0.0004258,0.0004258
60,896.254,1.43619,1.51909,1.75846,0.63974,0.58925,0.64673,0.30585,1.7478,1.56719,1.97378,0.0004159,0.0004159,0.0004159
61,911.161,1.43866,1.51451,1.74927,0.47179,0.5542,0.5429,0.23706,1.85773,1.83859,2.10011,0.000406,0.000406,0.000406
62,926.102,1.43193,1.5063,1.74755,0.49106,0.56137,0.54876,0.2482,1.82741,1.90727,2.08974,0.0003961,0.0003961,0.0003961
63,940.967,1.44455,1.49899,1.75455,0.52008,0.50549,0.45966,0.18075,2.16169,2.29567,2.37813,0.0003862,0.0003862,0.0003862
64,955.71,1.43821,1.50542,1.74602,0.51431,0.63593,0.61824,0.27657,1.83325,1.70942,2.06363,0.0003763,0.0003763,0.0003763
65,970.466,1.41726,1.49696,1.73657,0.53499,0.66272,0.65923,0.3188,1.66446,1.56818,1.8927,0.0003664,0.0003664,0.0003664
66,985.339,1.425,1.49654,1.73512,0.5091,0.61803,0.61977,0.27857,1.7943,1.71697,2.03532,0.0003565,0.0003565,0.0003565
67,1000.21,1.42944,1.48862,1.74262,0.55689,0.58476,0.59708,0.27185,1.77468,1.73252,1.97759,0.0003466,0.0003466,0.0003466
68,1014.94,1.39846,1.45182,1.71556,0.56846,0.64187,0.65732,0.31105,1.70603,1.60903,2.00616,0.0003367,0.0003367,0.0003367
69,1029.68,1.40965,1.46849,1.71685,0.57405,0.65477,0.67521,0.32101,1.68135,1.53734,1.92762,0.0003268,0.0003268,0.0003268
70,1044.46,1.41371,1.44786,1.72043,0.59095,0.68414,0.70486,0.34356,1.64691,1.50496,1.9525,0.0003169,0.0003169,0.0003169
71,1059.3,1.4288,1.44689,1.73194,0.5388,0.59401,0.59835,0.2771,1.82824,1.74993,2.03801,0.000307,0.000307,0.000307
72,1074.16,1.38128,1.43453,1.70237,0.63296,0.54966,0.59456,0.27222,1.80648,1.7772,2.05707,0.0002971,0.0002971,0.0002971
73,1089.04,1.41239,1.42544,1.70325,0.7523,0.52985,0.64074,0.31226,1.73517,1.61075,1.98647,0.0002872,0.0002872,0.0002872
74,1103.86,1.4098,1.44544,1.72342,0.63073,0.57373,0.65273,0.32188,1.67582,1.54781,1.93892,0.0002773,0.0002773,0.0002773
75,1118.6,1.39376,1.43765,1.70754,0.58024,0.64403,0.66854,0.32686,1.70123,1.49305,1.9537,0.0002674,0.0002674,0.0002674
76,1133.37,1.39173,1.41932,1.70659,0.58806,0.66438,0.67076,0.32944,1.654,1.48491,1.9277,0.0002575,0.0002575,0.0002575
77,1148.2,1.37689,1.4206,1.69947,0.59034,0.66421,0.67188,0.33089,1.6854,1.49407,1.97878,0.0002476,0.0002476,0.0002476
78,1162.95,1.37489,1.4051,1.69719,0.59548,0.68426,0.6939,0.34768,1.63318,1.44659,1.9067,0.0002377,0.0002377,0.0002377
79,1177.86,1.38475,1.40677,1.69004,0.62078,0.6407,0.69244,0.34214,1.67733,1.50251,1.92582,0.0002278,0.0002278,0.0002278
80,1192.66,1.39175,1.42485,1.70286,0.61642,0.65673,0.70741,0.3525,1.63496,1.46214,1.92973,0.0002179,0.0002179,0.0002179
81,1207.66,1.37567,1.39463,1.68383,0.59298,0.64579,0.67715,0.32625,1.69594,1.50782,1.95256,0.000208,0.000208,0.000208
82,1222.5,1.36537,1.40369,1.68804,0.59347,0.68955,0.71933,0.36379,1.61077,1.46797,1.91052,0.0001981,0.0001981,0.0001981
83,1237.51,1.36366,1.3997,1.68387,0.61113,0.68921,0.70327,0.35856,1.61043,1.44406,1.91631,0.0001882,0.0001882,0.0001882
84,1252.34,1.37368,1.39285,1.69124,0.58684,0.67357,0.7092,0.36549,1.60557,1.44901,1.9052,0.0001783,0.0001783,0.0001783
85,1267.21,1.3614,1.37284,1.6692,0.58719,0.67452,0.68886,0.34202,1.6408,1.46518,1.92115,0.0001684,0.0001684,0.0001684
86,1282.22,1.35752,1.36696,1.67277,0.60741,0.68079,0.70283,0.35536,1.61568,1.42949,1.89857,0.0001585,0.0001585,0.0001585
87,1297.26,1.35612,1.36127,1.66471,0.58457,0.70459,0.71253,0.34998,1.63939,1.45494,1.92611,0.0001486,0.0001486,0.0001486
88,1312.22,1.3635,1.38999,1.67674,0.58245,0.68201,0.68736,0.34631,1.66994,1.45091,1.94956,0.0001387,0.0001387,0.0001387
89,1327.05,1.35319,1.36576,1.67358,0.59054,0.66519,0.702,0.34654,1.64844,1.44309,1.9182,0.0001288,0.0001288,0.0001288
90,1341.84,1.33523,1.34869,1.66416,0.65169,0.63829,0.71128,0.35194,1.6587,1.41981,1.9249,0.0001189,0.0001189,0.0001189
91,1357.51,1.37429,1.37185,1.71665,0.61832,0.65731,0.69465,0.35244,1.65163,1.43142,1.94308,0.000109,0.000109,0.000109
92,1370.52,1.34142,1.29947,1.69085,0.60492,0.66595,0.70273,0.35856,1.63285,1.40951,1.92769,9.91e-05,9.91e-05,9.91e-05
93,1383.71,1.34155,1.26438,1.68261,0.65052,0.66089,0.72007,0.36006,1.61881,1.40747,1.9007,8.92e-05,8.92e-05,8.92e-05
94,1396.72,1.33049,1.26296,1.67504,0.65919,0.65514,0.70712,0.36249,1.61602,1.38795,1.9234,7.93e-05,7.93e-05,7.93e-05
95,1409.82,1.32474,1.24988,1.65895,0.65092,0.66021,0.72336,0.36422,1.63258,1.39137,1.92662,6.94e-05,6.94e-05,6.94e-05
