epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.69013,4.16306,4.50119,4.29648,0,0,0,0,3.35412,4.21831,4.1609,5.716e-05,5.716e-05,5.716e-05
2,2.70713,3.87219,4.47849,4.28311,0,0,0,0,3.35392,4.21806,4.16162,0.000127337,0.000127337,0.000127337
3,4.00286,4.053,4.48027,4.24133,0,0,0,0,3.35239,4.22006,4.16203,0.000196099,0.000196099,0.000196099
4,5.06869,3.87244,4.42793,4.21097,0,0,0,0,3.34602,4.21744,4.16101,0.000263446,0.000263446,0.000263446
5,6.15346,3.77779,4.45068,4.18828,0,0,0,0,3.34602,4.21555,4.15957,0.000329379,0.000329379,0.000329379
6,7.19836,3.77275,4.38743,4.14801,0,0,0,0,3.34151,4.21306,4.15764,0.000393897,0.000393897,0.000393897
7,8.27415,3.75575,4.35365,4.0932,0,0,0,0,3.33952,4.21613,4.15322,0.000457,0.000457,0.000457
8,9.34534,3.62477,4.24894,3.97229,0,0,0,0,3.33359,4.2149,4.15088,0.000518688,0.000518688,0.000518688
9,10.3854,3.40049,4.09215,3.91104,0,0,0,0,3.34744,4.21326,4.15218,0.000578962,0.000578962,0.000578962
10,11.4226,3.14953,3.92676,3.90146,0,0,0,0,3.37544,4.21393,4.16137,0.000637821,0.000637821,0.000637821
11,12.5102,3.20929,3.72073,3.71867,0,0,0,0,3.45272,4.2213,4.19222,0.000695266,0.000695266,0.000695266
12,13.5713,3.10536,3.75452,3.74686,0,0,0,0,3.5367,4.23007,4.23487,0.000751295,0.000751295,0.000751295
13,14.5949,3.0025,3.50036,3.58508,0,0,0,0,3.55096,4.23399,4.24739,0.00080591,0.00080591,0.00080591
14,15.6366,2.84957,3.31325,3.45823,0,0,0,0,3.54026,4.23817,4.24691,0.000859111,0.000859111,0.000859111
15,16.6948,2.77947,3.16873,3.45895,0,0,0,0,3.77258,4.26344,4.39518,0.000910896,0.000910896,0.000910896
16,17.7074,2.59383,2.98592,3.31983,0,0,0,0,3.90683,4.28186,4.48449,0.000961267,0.000961267,0.000961267
17,18.8302,2.62542,2.76808,3.29936,0,0,0,0,3.84795,4.29743,4.47086,0.00101022,0.00101022,0.00101022
18,19.8493,2.88366,2.83778,3.31181,0,0,0,0,3.76133,4.30321,4.43092,0.00105776,0.00105776,0.00105776
19,20.88,2.56498,2.64485,3.17152,0,0,0,0,3.85052,4.32374,4.5005,0.00110389,0.00110389,0.00110389
20,21.9228,2.42309,2.41232,3.07677,0.00262,0.11111,0.00175,0.00057,3.06804,4.17563,4.01523,0.0011486,0.0011486,0.0011486
21,22.9541,2.31439,2.26673,2.88253,0.00632,0.33333,0.18195,0.08286,2.81225,3.92878,3.721,0.00114606,0.00114606,0.00114606
22,23.9675,2.46514,2.21467,3.00997,0.00534,0.33333,0.2699,0.1288,2.6829,3.73106,3.58295,0.00113191,0.00113191,0.00113191
23,25.0791,2.29943,2.15606,2.81805,0.00644,0.33333,0.27244,0.14325,2.4751,3.63107,3.48667,0.00111776,0.00111776,0.00111776
24,26.1097,2.3113,2.24156,2.94755,0.89757,0.11111,0.23011,0.10283,2.74775,3.50799,3.51857,0.00110362,0.00110362,0.00110362
25,27.1465,2.2621,2.16007,2.86099,0.89957,0.25782,0.23626,0.12099,2.50998,3.25261,3.38677,0.00108947,0.00108947,0.00108947
26,28.1708,2.16225,2.03843,2.75589,0.95171,0.21909,0.36057,0.15237,2.31978,3.04584,3.33491,0.00107532,0.00107532,0.00107532
